"COD_AREA_KPI__C","CONDIZIONEMAGGIOREDI__C","CREATEDBYID","CREATEDDATE","ID","ISDELETED","KPI__C","LASTACTIVITYDATE","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTREFERENCEDDATE","LASTVIEWEDDATE","NAME","ORDINE_KPI__C","ORDINE__C","OWNERID","SYSTEMMODSTAMP"
"a301n0000024erfAAA","","0050Y000000NtQOQA0","2021-04-12T15:37:04.000Z","a311n000001PyRGAA0","false","Managers of Tomorrow","","0050Y000002b7vuQAA","2021-05-13T08:15:22.000Z","","","KPI-0000001","1. Managers of Tomorrow","1.0","0050Y000000NtQOQA0","2021-05-13T08:15:22.000Z"
"a301n0000024erfAAA","","0050Y000000NtQOQA0","2021-04-12T15:37:04.000Z","a311n000001PyRHAA0","false","Employee Engagement Survey","","0050Y000000NtQOQA0","2021-04-12T15:37:04.000Z","","","KPI-0000002","2. Employee Engagement Survey","2.0","0050Y000000NtQOQA0","2021-04-12T15:37:04.000Z"
"a301n0000024ergAAA","","0050Y000000NtQOQA0","2021-04-12T15:37:04.000Z","a311n000001PyRIAA0","false","Customer Retention","","0050Y000000NtQOQA0","2021-04-12T15:37:04.000Z","","","KPI-0000003","3. Customer Retention","3.0","0050Y000000NtQOQA0","2021-04-12T15:37:04.000Z"
"a301n0000024ergAAA","","0050Y000000NtQOQA0","2021-04-12T15:37:04.000Z","a311n000001PyRJAA0","false","Certificazione TSM","","0050Y000000NtQOQA0","2021-04-12T15:37:04.000Z","","","KPI-0000004","4. Certificazione TSM","4.0","0050Y000000NtQOQA0","2021-04-12T15:37:04.000Z"
"a301n0000024ergAAA","","0050Y000000NtQOQA0","2021-04-12T15:37:04.000Z","a311n000001PyRKAA0","false","Certificazione LSM","","0050Y000000NtQOQA0","2021-04-12T15:37:04.000Z","","","KPI-0000005","3. Certificazione LSM","3.0","0050Y000000NtQOQA0","2021-04-12T15:37:04.000Z"
"a301n0000024erhAAA","","0050Y000000NtQOQA0","2021-04-12T15:37:04.000Z","a311n000001PyRLAA0","false","Gestione Lead entro 1h","","0050Y000000NtQOQA0","2021-04-12T15:37:04.000Z","","","KPI-0000006","6. Gestione Lead entro 1h","6.0","0050Y000000NtQOQA0","2021-04-12T15:37:04.000Z"
"a301n0000024erhAAA","","0050Y000000NtQOQA0","2021-04-12T15:37:04.000Z","a311n000001PyRMAA0","false","Gestione dati clienti (GDPR)","","0050Y000000NtQOQA0","2021-04-12T15:37:04.000Z","","","KPI-0000007","7. Gestione dati clienti (GDPR)","7.0","0050Y000000NtQOQA0","2021-04-12T15:37:04.000Z"
"a301n0000024erhAAA","","0050Y000000NtQOQA0","2021-04-12T15:37:04.000Z","a311n000001PyRNAA0","false","CR da Lead","","0050Y000000NtQOQA0","2021-04-12T15:37:04.000Z","","","KPI-0000008","4. CR da Lead","4.0","0050Y000000NtQOQA0","2021-04-12T15:37:04.000Z"
"a301n0000024erhAAA","","0050Y000000NtQOQA0","2021-04-12T15:37:04.000Z","a311n000001PyROAA0","false","Qualità dati clienti (GDPR)","","0050Y000000NtQOQA0","2021-04-12T15:37:04.000Z","","","KPI-0000009","5. Qualità dati clienti (GDPR)","5.0","0050Y000000NtQOQA0","2021-04-12T15:37:04.000Z"
"a301n0000024eriAAA","","0050Y000000NtQOQA0","2021-04-12T15:37:04.000Z","a311n000001PyRPAA0","false","VCA","","0050Y000000NtQOQA0","2021-04-12T15:40:16.000Z","","","KPI-0000010","10. VCA","10.0","0050Y000000NtQOQA0","2021-04-12T15:40:16.000Z"
"a301n0000024eriAAA","","0050Y000000NtQOQA0","2021-04-12T15:37:04.000Z","a311n000001PyRQAA0","false","We Hybrid Insurance (on eligible model)","","0050Y000000NtQOQA0","2021-04-12T15:40:16.000Z","","","KPI-0000011","11. We Hybrid Insurance (on eligible model)","11.0","0050Y000000NtQOQA0","2021-04-12T15:40:16.000Z"
"a301n0000024eriAAA","","0050Y000000NtQOQA0","2021-04-12T15:37:04.000Z","a311n000001PyRRAA0","false","Penetrazione LIM","","0050Y000000NtQOQA0","2021-04-14T10:05:25.000Z","","","KPI-0000012","12. Penetrazione LIM","12.0","0050Y000000NtQOQA0","2021-04-14T10:05:25.000Z"
"a301n0000024eriAAA","","0050Y000000NtQOQA0","2021-04-12T15:37:04.000Z","a311n000001PyRSAA0","false","Performance KINTO ONE","","0050Y000000NtQOQA0","2021-04-12T15:40:16.000Z","","","KPI-0000013","13. Performance KINTO ONE","13.0","0050Y000000NtQOQA0","2021-04-12T15:40:16.000Z"
"a301n0000024eriAAA","","0050Y000000NtQOQA0","2021-04-12T15:37:04.000Z","a311n000001PyRTAA0","false","Back to Back (Rinnovi del nuovo TCM)","","0050Y000000NtQOQA0","2021-04-12T15:40:16.000Z","","","KPI-0000014","14. Back to Back (Rinnovi del nuovo TCM)","14.0","0050Y000000NtQOQA0","2021-04-12T15:40:16.000Z"
"a301n0000024erjAAA","","0050Y000000NtQOQA0","2021-04-12T15:37:04.000Z","a311n000001PyRUAA0","false","Lexus Experience","","0050Y000000NtQOQA0","2021-04-12T15:37:04.000Z","","","KPI-0000015","15. Lexus Experience","15.0","0050Y000000NtQOQA0","2021-04-12T15:37:04.000Z"
"a301n0000024erkAAA","95.0","0050Y000000NtQOQA0","2021-04-12T15:37:04.000Z","a311n000001PyRVAA0","false","Perf. Sales","","0050Y000000NtQOQA0","2021-04-12T15:37:04.000Z","","","KPI-0000016","16. Perf. Sales","16.0","0050Y000000NtQOQA0","2021-04-12T15:37:04.000Z"
"a301n0000024erkAAA","95.0","0050Y000000NtQOQA0","2021-04-12T15:37:04.000Z","a311n000001PyRWAA0","false","Perf. A/S","","0050Y000000NtQOQA0","2021-04-12T15:37:04.000Z","","","KPI-0000017","17. Perf. A/S","17.0","0050Y000000NtQOQA0","2021-04-12T15:37:04.000Z"
"a301n0000024erkAAA","","0050Y000000NtQOQA0","2021-04-12T15:37:04.000Z","a311n000001PyRXAA0","false","Perf. Veicoli Commerciali","","0050Y000002b7vuQAA","2021-04-23T13:45:57.000Z","","","KPI-0000018","18. Perf. Veicoli Commerciali","18.0","0050Y000000NtQOQA0","2021-04-23T13:45:57.000Z"
"a301n0000024erkAAA","75.0","0050Y000000NtQOQA0","2021-04-12T15:37:04.000Z","a311n000001PyRYAA0","false","Perf. NPS","","0050Y000000NtQOQA0","2021-04-12T15:37:04.000Z","","","KPI-0000019","19. Perf. NPS","19.0","0050Y000000NtQOQA0","2021-04-12T15:37:04.000Z"
"a301n0000024etrAAA","","0050Y000002b7vuQAA","2021-05-05T08:25:09.000Z","a311n000001Q61OAAS","false","Sett. 2020 - Feb. 2021","","0050Y000002b7vuQAA","2021-05-13T11:09:42.000Z","","","KPI-0000000","0. Sett. 2020 - Feb. 2021","0.0","0050Y000002b7vuQAA","2021-05-13T11:09:42.000Z"
"a301n0000024etrAAA","","0050Y000002b7vuQAA","2021-08-26T08:45:19.000Z","a311n000001xdn8AAA","false","Giu. - Lug. 2021","","0050Y000002b7vuQAA","2021-08-27T07:34:28.000Z","","","KPI-0000062","0. Giu. - Lug. 2021","0.0","0050Y000002b7vuQAA","2021-08-27T07:34:28.000Z"
