"APP__C","AREA__C","CREATEDBYID","CREATEDDATE","DATA_ORA_CHIUSURA__C","DATA_ORA_ELIMINAZIONE__C","DESCRIZIONE__C","ID","ISDELETED","LASTACTIVITYDATE","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTREFERENCEDDATE","LASTVIEWEDDATE","NAME","NOME__C","OWNERID","PROPRIETARIO__C","RIFERIMENTO_IMMAGINE__C","SYSTEMMODSTAMP","TIPOLOGIA__C","URL_IMMAGINE__C"
"a0X1n00000alLbrEAE","Marketing","0051n000005bw6qAAA","2021-02-18T13:42:00.000Z","","","gruppo di prova","a2o1n0000018BpsAAE","false","","0051n000005bw6qAAA","2021-02-18T13:42:00.000Z","","","CH-0000008","Quintegia","0050Y000001Te0YQAS","a121n000002st9eAAA","","2021-02-18T13:42:00.000Z","group",""
"a0X1n00000alLbrEAE","Network Development","0050Y000002b7vuQAA","2021-04-08T07:48:42.000Z","","","Demo Chat","a2o1n0000018MZaAAM","false","","0050Y000002b7vuQAA","2021-04-08T07:48:42.000Z","","","CH-0000009","Demo Chat","0050Y000002b7vuQAA","a121n000002st9gAAA","","2021-04-08T07:48:42.000Z","direct",""
"a0X1n00000alLbrEAE","","0051n000005bw6qAAA","2021-04-08T11:46:04.000Z","","","Conversazione tra Elisa Giubilato 3 Dealer Demo","a2o1n0000018MeLAAU","false","","0051n000005bw6qAAA","2021-04-08T11:46:05.000Z","","","CH-0000010","a121n000002st9gAAA:Elisa Giubilato|a121n000002aZlXAAU:Dealer Demo","0050Y000001Te0YQAS","a121n000002st9gAAA","","2021-04-08T11:46:05.000Z","direct",""
"a0X1n00000alLbrEAE","Network Development","0051n000005bw6qAAA","2021-04-08T11:51:11.000Z","","","Chat demo","a2o1n0000018MeQAAU","false","","0051n000005bw6qAAA","2021-04-08T11:51:12.000Z","","","CH-0000011","Chat demo","0050Y000001Te0YQAS","a121n000002st9gAAA","","2021-04-08T11:51:12.000Z","group",""
"a0X1n00000alLbrEAE","Network Development","0051n000005bw6qAAA","2021-04-23T20:03:41.000Z","","","","a2o1n0000018PISAA2","false","","0051n000005bw6qAAA","2021-04-23T20:03:42.000Z","","","CH-0000012","Chat demo - Business Dev.","0050Y000001TnJCQA0","a121n000002st9gAAA","","2021-04-23T20:03:42.000Z","group",""
"a0X1n00000alLbrEAE","Sales","0050Y000000NtQOQA0","2020-03-30T08:18:23.000Z","","","Gruppo di prova per demo.","a2o1n000001MmuQAAS","false","","0051n000005bw6qAAA","2020-04-10T10:16:04.000Z","","","C-000002","Gruppo Demo Rinominato","0050Y000000NtQOQA0","a121n000002aZOzAAM","","2020-04-10T10:16:04.000Z","group",""
"a0X1n00000alLbrEAE","Marketing","0050Y000000NtQOQA0","2020-03-30T10:27:57.000Z","","","Chat di test","a2o1n000001MmyIAAS","false","","0051n000005bw6qAAA","2020-05-28T14:19:42.000Z","","","C-000003","Test","0050Y000000NtQOQA0","a121n000002st9fAAA","a0X1n00000alLbrEAE_files/a2o1n000001MmyIAAS/1590675506553_2661d0e8-7249-4f35-9cc8-77acc32295e4915995077821333882.jpg","2020-05-28T14:19:42.000Z","group","https://www.quintegia.it/wp-content/uploads/2020/03/News_sito_Q-1024x576.png"
"a0X1n00000alLbrEAE","Network Development","0050Y000000NtQOQA0","2020-03-31T13:41:42.000Z","","","Franchise - Sviluppo Rete TMI","a2o1n000001Mn6CAAS","false","","0050Y000002b7vuQAA","2020-04-16T16:10:35.000Z","","","CH-0000004","Franchise","0050Y000002b7vuQAA","a121n000002aaRtAAI","","2020-04-16T16:10:35.000Z","group","https://docs.quintegia.it/Ricerche/TMI_RCC/gr_manager_TMI_FRANCHISE_TL.png"
"a0X1n00000alLbrEAE","Sales","0050Y000001Te0YQAS","2020-04-03T07:23:03.000Z","","","Test02","a2o1n000001MnFxAAK","false","","0050Y000001Te0YQAS","2020-04-03T07:23:03.000Z","","","CH-0000005","Test02","0050Y000001Te0YQAS","a121n000002st9fAAA","","2020-04-03T07:23:03.000Z","group",""
"a0X1n00000alLbrEAE","Marketing","0051n000005bw6qAAA","2020-04-10T10:35:23.000Z","","","gruppo di prova manager q","a2o1n000001MnYuAAK","false","","0051n000005bw6qAAA","2020-04-10T10:42:04.000Z","","","CH-0000006","Manager Q","0051n000005bw6qAAA","a121n000002st9eAAA","","2020-04-10T10:42:04.000Z","group",""
"a0X1n00000alLbrEAE","Network Development","0050Y000002b7vuQAA","2020-04-16T16:06:31.000Z","","","Quintegia Ricerche","a2o1n000001MtJlAAK","false","","0050Y000002b7vuQAA","2020-04-16T16:06:31.000Z","","","CH-0000007","Q Ricerche","0050Y000002b7vuQAA","a121n000002st9gAAA","","2020-04-16T16:06:31.000Z","group",""
