"ARTICOLO__C","CREATEDBYID","CREATEDDATE","GRUPPO__C","ID","ISDELETED","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTREFERENCEDDATE","LASTVIEWEDDATE","NAME","OWNERID","SYSTEMMODSTAMP"
"a0Y1n00000HQgKuEAL","0050Y000002b7vuQAA","2019-11-12T13:59:55.000Z","a0j1n00000BDAaqAAH","a0a1n000009sQkUAAU","false","0050Y000002b7vuQAA","2019-11-12T13:59:55.000Z","","","GA-00000015","0050Y000002b7vuQAA","2019-11-12T13:59:55.000Z"
"a0Y1n00000HQgYQEA1","0050Y000002b7vuQAA","2019-11-12T14:08:21.000Z","a0j1n00000BDAaqAAH","a0a1n000009sQqWAAU","false","0050Y000002b7vuQAA","2019-11-12T14:08:21.000Z","","","GA-00000016","0050Y000002b7vuQAA","2019-11-12T14:08:21.000Z"
"a0Y1n00000HdITYEA3","0050Y000000NtQOQA0","2019-08-28T07:42:14.000Z","a0j1n00000BDAaqAAH","a0a1n00000Ae29DAAR","false","0050Y000000NtQOQA0","2019-08-28T14:39:33.000Z","2022-07-01T14:20:28.000Z","2022-07-01T14:20:28.000Z","GA-00000000","0050Y000000NtQOQA0","2019-08-28T14:39:33.000Z"
"a0Y1n00000HdITZEA3","0050Y000000NtQOQA0","2019-08-28T07:42:38.000Z","a0j1n00000BDAaqAAH","a0a1n00000Ae29XAAR","false","0050Y000001Te0YQAS","2019-09-02T08:27:44.000Z","","","GA-00000001","0050Y000000NtQOQA0","2019-09-02T08:27:44.000Z"
"a0Y1n00000HdITaEAN","0050Y000000NtQOQA0","2019-08-28T14:40:53.000Z","a0j1n00000BDAaqAAH","a0a1n00000Ae3whAAB","false","0050Y000000NtQOQA0","2019-08-28T14:40:53.000Z","","","GA-00000002","0050Y000000NtQOQA0","2019-08-28T14:40:53.000Z"
"a0Y1n00000HdITbEAN","0050Y000000NtQOQA0","2019-08-28T14:42:16.000Z","a0j1n00000BDAarAAH","a0a1n00000Ae3wwAAB","false","0050Y000000NtQOQA0","2019-08-28T14:42:16.000Z","","","GA-00000004","0050Y000000NtQOQA0","2019-08-28T14:42:16.000Z"
"a0Y1n00000HdITcEAN","0050Y000000NtQOQA0","2019-08-28T14:42:47.000Z","a0j1n00000BDAaqAAH","a0a1n00000Ae3x1AAB","false","0050Y000000NtQOQA0","2019-08-28T14:42:47.000Z","","","GA-00000005","0050Y000000NtQOQA0","2019-08-28T14:42:47.000Z"
"a0Y1n00000Hdx0IEAR","0050Y000001TnJ2QAK","2019-09-11T08:26:41.000Z","a0j1n00000BDAarAAH","a0a1n00000AfPqVAAV","false","0050Y000001TnJ2QAK","2019-09-11T08:26:41.000Z","","","GA-00000006","0050Y000001TnJ2QAK","2019-09-11T08:26:41.000Z"
"a0Y1n00000HdxRZEAZ","0050Y000001TnJ2QAK","2019-09-11T11:19:15.000Z","a0j1n00000BDAarAAH","a0a1n00000AfQHTAA3","false","0050Y000001TnJ2QAK","2019-09-11T11:19:15.000Z","","","GA-00000007","0050Y000001TnJ2QAK","2019-09-11T11:19:15.000Z"
"a0Y1n00000HdxjzEAB","0050Y000001TnJ2QAK","2019-09-11T13:10:50.000Z","a0j1n00000BDAaqAAH","a0a1n00000AfQkEAAV","false","0050Y000001TnJ2QAK","2019-09-11T13:10:50.000Z","","","GA-00000008","0050Y000001TnJ2QAK","2019-09-11T13:10:50.000Z"
"a0Y1n00000Gknn8EAB","0050Y000002b7vuQAA","2019-10-11T11:26:48.000Z","a0j1n00000BDAaqAAH","a0a1n00000ApfjiAAB","false","0050Y000002b7vuQAA","2019-10-11T11:26:48.000Z","","","GA-00000009","0050Y000002b7vuQAA","2019-10-11T11:26:48.000Z"
"a0Y1n00000GlLI6EAN","0050Y000002b7vuQAA","2019-10-17T14:45:20.000Z","a0j1n00000BDAaqAAH","a0a1n00000AqHqtAAF","false","0050Y000002b7vuQAA","2019-10-17T14:45:20.000Z","","","GA-00000010","0050Y000002b7vuQAA","2019-10-17T14:45:20.000Z"
"a0Y1n00000GlRZyEAN","0050Y000002b7vuQAA","2019-10-18T09:35:36.000Z","a0j1n00000BDAaqAAH","a0a1n00000AqNlwAAF","false","0050Y000002b7vuQAA","2019-10-18T09:35:36.000Z","","","GA-00000011","0050Y000002b7vuQAA","2019-10-18T09:35:36.000Z"
"a0Y1n00000GlRpuEAF","0050Y000002b7vuQAA","2019-10-18T10:22:44.000Z","a0j1n00000BDAaqAAH","a0a1n00000AqNwsAAF","false","0050Y000002b7vuQAA","2019-10-18T10:22:44.000Z","","","GA-00000012","0050Y000002b7vuQAA","2019-10-18T10:22:44.000Z"
"a0Y1n00000GlSEJEA3","0050Y000002b7vuQAA","2019-10-18T10:58:44.000Z","a0j1n00000BDAaqAAH","a0a1n00000AqNzIAAV","false","0050Y000002b7vuQAA","2019-10-18T10:58:44.000Z","","","GA-00000013","0050Y000002b7vuQAA","2019-10-18T10:58:44.000Z"
"a0Y1n00000GlpW8EAJ","0050Y000002b7vuQAA","2019-10-22T16:17:29.000Z","a0j1n00000BDAaqAAH","a0a1n00000AqqjbAAB","false","0050Y000002b7vuQAA","2019-10-22T16:17:29.000Z","","","GA-00000014","0050Y000002b7vuQAA","2019-10-22T16:17:29.000Z"
"a0Y1n00000HQqDfEAL","0050Y000002b7vuQAA","2019-11-13T14:28:23.000Z","a0j1n00000BDAaqAAH","a0a1n00000BIk82AAD","false","0050Y000002b7vuQAA","2019-11-13T14:28:23.000Z","","","GA-00000017","0050Y000002b7vuQAA","2019-11-13T14:28:23.000Z"
"a0Y1n00000HQqfFEAT","0050Y000002b7vuQAA","2019-11-14T12:59:10.000Z","a0j1n00000BDAaqAAH","a0a1n00000BJ4GkAAL","false","0050Y000002b7vuQAA","2019-11-14T12:59:10.000Z","","","GA-00000018","0050Y000002b7vuQAA","2019-11-14T12:59:10.000Z"
"a0Y1n00000HQqhVEAT","0050Y000002b7vuQAA","2019-11-14T13:32:11.000Z","a0j1n00000BDAaqAAH","a0a1n00000BJ4VdAAL","false","0050Y000002b7vuQAA","2019-11-14T13:32:11.000Z","","","GA-00000019","0050Y000002b7vuQAA","2019-11-14T13:32:11.000Z"
"a0Y1n00000IHAXxEAP","0050Y000002b7vuQAA","2019-11-26T17:41:13.000Z","a0j1n00000BDAaqAAH","a0a1n00000BMZZuAAP","false","0050Y000002b7vuQAA","2019-11-26T17:41:13.000Z","","","GA-00000020","0050Y000002b7vuQAA","2019-11-26T17:41:13.000Z"
"a0Y1n00000IHTeXEAX","0050Y000002b7vuQAA","2019-11-28T14:03:37.000Z","a0j1n00000BDAaqAAH","a0a1n00000BMnywAAD","false","0050Y000002b7vuQAA","2019-11-28T14:03:37.000Z","","","GA-00000021","0050Y000002b7vuQAA","2019-11-28T14:03:37.000Z"
"a0Y1n00000IHrbIEAT","0050Y000002b7vuQAA","2019-12-03T08:50:19.000Z","a0j1n00000BDAaqAAH","a0a1n00000BZzDDAA1","false","0050Y000002b7vuQAA","2019-12-03T08:50:19.000Z","","","GA-00000022","0050Y000002b7vuQAA","2019-12-03T08:50:19.000Z"
"a0Y1n00000IHsCNEA1","0050Y000002b7vuQAA","2019-12-03T10:02:37.000Z","a0j1n00000BDAaqAAH","a0a1n00000BZzqLAAT","false","0050Y000002b7vuQAA","2019-12-03T10:02:37.000Z","","","GA-00000023","0050Y000002b7vuQAA","2019-12-03T10:02:37.000Z"
"a0Y1n00000IHsOiEAL","0050Y000002b7vuQAA","2019-12-03T10:29:01.000Z","a0j1n00000BDAaqAAH","a0a1n00000Ba04SAAR","false","0050Y000002b7vuQAA","2019-12-03T10:29:01.000Z","","","GA-00000024","0050Y000002b7vuQAA","2019-12-03T10:29:01.000Z"
"a0Y1n00000IJRSvEAP","0050Y000002b7vuQAA","2019-12-17T13:50:06.000Z","a0j1n00000BDAaqAAH","a0a1n00000BiGqrAAF","false","0050Y000002b7vuQAA","2019-12-17T13:50:06.000Z","","","GA-00000025","0050Y000002b7vuQAA","2019-12-17T13:50:06.000Z"
"a0Y1n00000IKgVhEAL","0050Y000002b7vuQAA","2019-12-31T08:12:00.000Z","a0j1n00000BDAaqAAH","a0a1n00000BqSZHAA3","false","0050Y000002b7vuQAA","2019-12-31T08:12:00.000Z","","","GA-00000026","0050Y000002b7vuQAA","2019-12-31T08:12:00.000Z"
"a0Y1n00000Ic1B1EAJ","0050Y000002b7vuQAA","2020-02-11T15:42:02.000Z","a0j1n00000BDAaqAAH","a0a1n00000C8DhdAAF","false","0050Y000002b7vuQAA","2020-02-11T15:42:02.000Z","","","GA-00000027","0050Y000002b7vuQAA","2020-02-11T15:42:02.000Z"
"a0Y1n00000IXcxJEAT","0050Y000002b7vuQAA","2020-02-17T13:32:23.000Z","a0j1n00000BDAaqAAH","a0a1n00000C9923AAB","false","0050Y000002b7vuQAA","2020-02-17T13:32:23.000Z","","","GA-00000028","0050Y000002b7vuQAA","2020-02-17T13:32:23.000Z"
"a0Y1n00000Id9FZEAZ","0050Y000002b7vuQAA","2020-02-21T13:51:29.000Z","a0j1n00000BDAaqAAH","a0a1n00000C9dD0AAJ","false","0050Y000002b7vuQAA","2020-02-21T13:51:29.000Z","","","GA-00000029","0050Y000002b7vuQAA","2020-02-21T13:51:29.000Z"
