"CAMPIONE_MINIMO_PERCENTUALE__C","COLORE__C","CREATEDBYID","CREATEDDATE","GENITORE__C","GRUPPO_MASTER__C","ID","INFO__C","ISDELETED","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTREFERENCEDDATE","LASTVIEWEDDATE","NAME","ORDINE__C","OWNERID","SIGLA__C","SYSTEMMODSTAMP","TIPOLOGIA__C","URL_LOGO__C"
"","","0050Y000000NtQOQA0","2019-08-26T13:35:31.000Z","","","a0j1n00000BDAapAAH","","false","0050Y000000NtQOQA0","2019-08-26T13:44:11.000Z","2022-07-05T11:01:16.000Z","2022-07-05T11:01:16.000Z","Principale","","0050Y000000NtQOQA0","P","2019-08-26T13:44:11.000Z","Principale",""
"5.0","#a3a3a3","0050Y000000NtQOQA0","2019-08-26T13:35:31.000Z","a0j1n00000BDAapAAH","","a0j1n00000BDAaqAAH","Principale","false","0050Y000001TnJ2QAK","2019-12-20T13:37:05.000Z","","","TMI","3.0","0050Y000000NtQOQA0","TMI","2019-12-20T13:37:05.000Z","Casa Auto","https://docs.quintegia.it/Ricerche/TMI_RCC/manager_TL_TMI.png"
"5.0","#cc0033","0050Y000000NtQOQA0","2019-08-26T13:35:31.000Z","a0j1n00000BDAaqAAH","","a0j1n00000BDAarAAH","Principale - TMI","false","0050Y000001TnJ2QAK","2019-12-20T13:37:05.000Z","","","Toyota","1.0","0050Y000000NtQOQA0","TOY","2019-12-20T13:37:05.000Z","Marchio","https://docs.quintegia.it/Ricerche/TMI_RCC/manager_T_TMI.png"
"","","0050Y000000NtQOQA0","2019-08-26T13:35:31.000Z","a0j1n00000BDAarAAH","","a0j1n00000BDAasAAH","Principale - TMI - Toyota","false","0050Y000001TnJ2QAK","2019-12-20T13:37:05.000Z","","","Distretto 1","","0050Y000000NtQOQA0","1","2019-12-20T13:37:05.000Z","Distretto","https://docs.quintegia.it/Ricerche/TMI_RCC/manager_T_district.png"
"","","0050Y000000NtQOQA0","2019-08-26T13:35:31.000Z","a0j1n00000BDAasAAH","","a0j1n00000BDAatAAH","TMI - Toyota - Distretto 1","false","0050Y000001TnJ2QAK","2019-12-20T13:37:05.000Z","2022-07-05T15:25:02.000Z","2022-07-05T15:25:02.000Z","Zona A","","0050Y000000NtQOQA0","A","2019-12-20T13:37:05.000Z","Zona","https://docs.quintegia.it/Ricerche/TMI_RCC/manager_T_zone.png"
"","","0050Y000000NtQOQA0","2019-08-26T13:35:31.000Z","a0j1n00000BDAasAAH","","a0j1n00000BDAauAAH","TMI - Toyota - Distretto 1","false","0050Y000001TnJ2QAK","2019-12-20T13:37:05.000Z","","","Zona B","","0050Y000000NtQOQA0","B","2019-12-20T13:37:05.000Z","Zona","https://docs.quintegia.it/Ricerche/TMI_RCC/manager_T_zone.png"
"","","0050Y000000NtQOQA0","2019-08-26T13:35:31.000Z","a0j1n00000BDAasAAH","","a0j1n00000BDAavAAH","TMI - Toyota - Distretto 1","false","0050Y000001TnJ2QAK","2019-12-20T13:37:05.000Z","","","Zona C","","0050Y000000NtQOQA0","C","2019-12-20T13:37:05.000Z","Zona","https://docs.quintegia.it/Ricerche/TMI_RCC/manager_T_zone.png"
"","","0050Y000000NtQOQA0","2019-08-26T13:35:31.000Z","a0j1n00000BDAarAAH","","a0j1n00000BDAawAAH","Principale - TMI - Toyota","false","0050Y000001TnJ2QAK","2019-12-20T13:37:05.000Z","","","Distretto 2","","0050Y000000NtQOQA0","2","2019-12-20T13:37:05.000Z","Distretto","https://docs.quintegia.it/Ricerche/TMI_RCC/manager_T_district.png"
"","","0050Y000000NtQOQA0","2019-08-26T13:35:31.000Z","a0j1n00000BDAawAAH","","a0j1n00000BDAaxAAH","TMI - Toyota - Distretto 2","false","0050Y000001TnJ2QAK","2019-12-20T13:37:05.000Z","","","Zona D","","0050Y000000NtQOQA0","D","2019-12-20T13:37:05.000Z","Zona","https://docs.quintegia.it/Ricerche/TMI_RCC/manager_T_zone.png"
"","","0050Y000000NtQOQA0","2019-08-26T13:35:31.000Z","a0j1n00000BDAawAAH","","a0j1n00000BDAayAAH","TMI - Toyota - Distretto 2","false","0050Y000001TnJ2QAK","2019-12-20T13:37:05.000Z","","","Zona E","","0050Y000000NtQOQA0","E","2019-12-20T13:37:05.000Z","Zona","https://docs.quintegia.it/Ricerche/TMI_RCC/manager_T_zone.png"
