"CREATEDBYID","CREATEDDATE","ETICHETTA_RISULTATI_EN__C","ETICHETTA_RISULTATI_IT__C","ID","INSIEME_OPZIONI_DOMANDA__C","ISDELETED","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTREFERENCEDDATE","LASTVIEWEDDATE","NAME","OPZIONE_DOMANDA_EN__C","OPZIONE_DOMANDA_IT__C","ORDINE__C","OWNERID","SYSTEMMODSTAMP","VALORE_NUMERICO__C","VALORE_TESTUALE__C"
"0050Y000000NtQOQA0","2019-08-26T14:15:39.000Z","","Moltissimo","a0y1n000002oLgpAAE","a0w1n000006Cr4OAAS","false","0050Y000001TnJ2QAK","2019-09-23T15:38:53.000Z","","","OD-00000001","","Moltissimo","1.0","0050Y000000NtQOQA0","2019-09-23T15:38:53.000Z","5.0","Moltissimo"
"0050Y000000NtQOQA0","2019-08-26T14:15:39.000Z","","Abbastanza","a0y1n000002oLgqAAE","a0w1n000006Cr4OAAS","false","0050Y000001TnJ2QAK","2019-09-23T15:38:53.000Z","","","OD-00000002","","Abbastanza","2.0","0050Y000000NtQOQA0","2019-09-23T15:38:53.000Z","4.0","Abbastanza"
"0050Y000000NtQOQA0","2019-08-26T14:15:39.000Z","","Sufficientemente","a0y1n000002oLgrAAE","a0w1n000006Cr4OAAS","false","0050Y000001TnJ2QAK","2019-09-23T15:38:53.000Z","","","OD-00000003","","Sufficientemente","3.0","0050Y000000NtQOQA0","2019-09-23T15:38:53.000Z","3.0","Sufficientemente"
"0050Y000000NtQOQA0","2019-08-26T14:15:39.000Z","","Poco","a0y1n000002oLgsAAE","a0w1n000006Cr4OAAS","false","0050Y000001TnJ2QAK","2019-09-23T15:38:53.000Z","","","OD-00000004","","Poco","4.0","0050Y000000NtQOQA0","2019-09-23T15:38:53.000Z","2.0","Poco"
"0050Y000000NtQOQA0","2019-08-26T14:15:39.000Z","","Per nulla","a0y1n000002oLgtAAE","a0w1n000006Cr4OAAS","false","0050Y000001TnJ2QAK","2019-09-23T15:38:53.000Z","","","OD-00000005","","Per nulla","5.0","0050Y000000NtQOQA0","2019-09-23T15:38:53.000Z","1.0","Per nulla"
"0050Y000000NtQOQA0","2019-08-26T14:15:39.000Z","","Sì","a0y1n000002oLguAAE","a0w1n000006Cr4PAAS","false","0050Y000001TnJ2QAK","2019-09-23T15:38:53.000Z","","","OD-00000006","","Sì, hanno molto talento","1.0","0050Y000000NtQOQA0","2019-09-23T15:38:53.000Z","5.0","Molto"
"0050Y000000NtQOQA0","2019-08-26T14:15:39.000Z","","Credo di sì","a0y1n000002oLgvAAE","a0w1n000006Cr4PAAS","false","0050Y000001TnJ2QAK","2019-09-23T15:38:53.000Z","","","OD-00000007","","Credo di sì, sono abbastanza preparati e competenti","2.0","0050Y000000NtQOQA0","2019-09-23T15:38:53.000Z","4.0","Abbastanza"
"0050Y000000NtQOQA0","2019-08-26T14:15:39.000Z","","Sufficientemente","a0y1n000002oLgwAAE","a0w1n000006Cr4PAAS","false","0050Y000001TnJ2QAK","2019-09-23T15:38:53.000Z","","","OD-00000008","","Sufficientemente","3.0","0050Y000000NtQOQA0","2019-09-23T15:38:53.000Z","3.0","Sufficientemente"
"0050Y000000NtQOQA0","2019-08-26T14:15:39.000Z","","Non ne sono certo","a0y1n000002oLgxAAE","a0w1n000006Cr4PAAS","false","0050Y000001TnJ2QAK","2019-09-23T15:38:53.000Z","","","OD-00000009","","Non ne sono certo, forse necessitano di supporto","4.0","0050Y000000NtQOQA0","2019-09-23T15:38:53.000Z","2.0","Non sufficiente"
"0050Y000000NtQOQA0","2019-08-26T14:15:39.000Z","","No","a0y1n000002oLgyAAE","a0w1n000006Cr4PAAS","false","0050Y000001TnJ2QAK","2019-09-23T15:38:53.000Z","","","OD-00000010","","No, devo sicuramente intervenire","5.0","0050Y000000NtQOQA0","2019-09-23T15:38:53.000Z","1.0","No"
"0050Y000000NtQOQA0","2019-08-26T14:15:39.000Z","","Ottima","a0y1n000002oLgzAAE","a0w1n000006Cr4QAAS","false","0050Y000001TnJ2QAK","2019-09-23T15:38:53.000Z","","","OD-00000016","","Ottima, siamo in sintonia","1.0","0050Y000000NtQOQA0","2019-09-23T15:38:53.000Z","5.0","Ottima"
