"AREA_PERMESSI_VISUALIZZAZIONE__C","AREA__C","AZIENDA_PERMESSI_VISUALIZZAZIONE__C","CREATEDBYID","CREATEDDATE","ETICHETTA_EN__C","ETICHETTA_GENITORE__C","ETICHETTA_IT__C","ETICHETTA_RIDOTTA_EN__C","ETICHETTA_RIDOTTA_IT__C","GENITORE__C","GRUPPO__C","ID","ISDELETED","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTREFERENCEDDATE","LASTVIEWEDDATE","NAME","NO_TREND__C","ORDINE_RISULTATI_DEALER__C","ORDINE_RISULTATI_MANAGER__C","OWNERID","PESO_GENITORE__C","PRIORITA_VISUALIZZAZIONE__C","SYSTEMMODSTAMP","TIPOLOGIA_GRAFICO__C","TIPOLOGIA__C","VISUALIZZABILE_DA_DEALER_IN__C","VISUALIZZABILE_DA_MANAGER_IN__C"
"After Sales;Marketing;Sales;TIM;TFS;TFM","After Sales;Marketing;Sales;TIM;TFS","All","0050Y000000NtQOQA0","2019-08-26T14:21:42.000Z","Dealer Motivation","","Motivazione Dealer","Motivation","Motivazione","","a0j1n00000BDAarAAH","a0z1n000002YUpvAAG","false","0050Y000000NtQOQA0","2020-03-23T09:25:02.000Z","","","R-0000001","","0.0","0.0","0050Y000000NtQOQA0","","1.0","2020-03-23T09:25:02.000Z","","Indice","Dealer Map","Dealer Map"
"After Sales;Marketing;Sales;TIM;TFS;TFM","After Sales;Marketing;Sales;TIM;TFS","All","0050Y000000NtQOQA0","2019-08-26T14:21:42.000Z","Business with the Carmaker","","Business con la Casa","Business","Business","","a0j1n00000BDAarAAH","a0z1n000002YUpwAAG","false","0050Y000000NtQOQA0","2020-03-23T09:25:02.000Z","","","R-0000005","","0.0","0.0","0050Y000000NtQOQA0","","1.0","2020-03-23T09:25:02.000Z","","Indice","Dealer Map","Dealer Map"
"After Sales;Marketing;Sales;TIM;TFS;TFM","After Sales;Marketing;Sales;TIM;TFS","All","0050Y000000NtQOQA0","2019-08-26T14:21:42.000Z","Dealer Motivation","","Motivazione Dealer","Motivation","Motivazione","","a0j1n00000BDAb4AAH","a0z1n000002YUqKAAW","false","0050Y000000NtQOQA0","2020-03-23T09:25:02.000Z","","","R-0000026","","0.0","0.0","0050Y000000NtQOQA0","","1.0","2020-03-23T09:25:02.000Z","","Indice","Dealer Map","Dealer Map"
"After Sales;Marketing;Sales;TIM;TFS;TFM","After Sales;Marketing;Sales;TIM;TFS","All","0050Y000000NtQOQA0","2019-08-26T14:21:42.000Z","Business with the Carmaker","","Business con la Casa","Business","Business","","a0j1n00000BDAb4AAH","a0z1n000002YUqLAAW","false","0050Y000000NtQOQA0","2020-03-23T09:25:02.000Z","","","R-0000027","","0.0","0.0","0050Y000000NtQOQA0","","1.0","2020-03-23T09:25:02.000Z","","Indice","Dealer Map","Dealer Map"
"After Sales;Marketing;Sales;TIM;TFS;TFM","After Sales;Marketing;Sales;TIM;TFS;TFM","All","0050Y000001TnJ2QAK","2019-09-23T15:57:51.000Z","Entrepreneur Job Gratification","Motivazione Dealer","Gratificazione lavorativa","","","a0z1n000002YUpvAAG","a0j1n00000BDAarAAH","a0z1n000002Yj8aAAC","false","0050Y000000NtQOQA0","2020-03-23T09:26:16.000Z","","","R-0000100","","2.0","2.0","0050Y000001TnJ2QAK","10.0","1.0","2020-03-23T09:26:16.000Z","","Raggruppamento","Dealer Insight","Motivation Dashboard"
"After Sales;Marketing;Sales;TIM;TFS;TFM","After Sales;Marketing;Sales;TIM;TFS;TFM","All","0050Y000001TnJ2QAK","2019-09-23T15:57:51.000Z","Entrepreneur Job Gratification","Motivazione Dealer","Gratificazione lavorativa","","","a0z1n000002YUpvAAG","a0j1n00000BDAb4AAH","a0z1n000002Yj8bAAC","false","0050Y000000NtQOQA0","2020-03-23T09:26:16.000Z","","","R-0000101","","2.0","2.0","0050Y000001TnJ2QAK","10.0","1.0","2020-03-23T09:26:16.000Z","","Raggruppamento","Dealer Insight","Motivation Dashboard"
"After Sales;Marketing;Sales;TIM;TFS;TFM","After Sales;Marketing;Sales;TIM;TFS;TFM","All","0050Y000001TnJ2QAK","2019-09-23T15:57:51.000Z","Employees Alignment","Motivazione Dealer","Allineamento Team","","","a0z1n000002YUpvAAG","a0j1n00000BDAarAAH","a0z1n000002Yj8cAAC","false","0050Y000000NtQOQA0","2020-03-23T09:26:16.000Z","","","R-0000102","","1.0","1.0","0050Y000001TnJ2QAK","10.0","1.0","2020-03-23T09:26:16.000Z","","Raggruppamento","Dealer Insight","Motivation Dashboard"
"After Sales;Marketing;Sales;TIM;TFS;TFM","After Sales;Marketing;Sales;TIM;TFS;TFM","All","0050Y000001TnJ2QAK","2019-09-23T15:57:51.000Z","Employees Alignment","Motivazione Dealer","Allineamento Team","","","a0z1n000002YUpvAAG","a0j1n00000BDAb4AAH","a0z1n000002Yj8dAAC","false","0050Y000000NtQOQA0","2020-03-23T09:26:16.000Z","","","R-0000103","","1.0","1.0","0050Y000001TnJ2QAK","10.0","1.0","2020-03-23T09:26:16.000Z","","Raggruppamento","Dealer Insight","Motivation Dashboard"
"After Sales;Marketing;Sales;TIM;TFS;TFM","After Sales;Marketing;Sales;TIM;TFS;TFM","All","0050Y000001TnJ2QAK","2019-09-23T15:57:51.000Z","Engagement vs TMI","Motivazione Dealer","Ingaggio vs TMI","","","a0z1n000002YUpvAAG","a0j1n00000BDAarAAH","a0z1n000002Yj8eAAC","false","0050Y000000NtQOQA0","2020-03-23T09:26:16.000Z","","","R-0000104","","3.0","3.0","0050Y000001TnJ2QAK","10.0","1.0","2020-03-23T09:26:16.000Z","","Raggruppamento","Dealer Insight","Motivation Dashboard"
"After Sales;Marketing;Sales;TIM;TFS;TFM","After Sales;Marketing;Sales;TIM;TFS;TFM","All","0050Y000001TnJ2QAK","2019-09-23T15:57:51.000Z","Engagement vs TMI","Motivazione Dealer","Ingaggio vs TMI","","","a0z1n000002YUpvAAG","a0j1n00000BDAb4AAH","a0z1n000002Yj8fAAC","false","0050Y000000NtQOQA0","2020-03-23T09:26:16.000Z","","","R-0000105","","3.0","3.0","0050Y000001TnJ2QAK","10.0","1.0","2020-03-23T09:26:16.000Z","","Raggruppamento","Dealer Insight","Motivation Dashboard"
