"ARTICOLO__C","CREATEDBYID","CREATEDDATE","GENITORE__C","ID","ISDELETED","LASTACTIVITYDATE","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTREFERENCEDDATE","LASTVIEWEDDATE","NAME","OWNERID","PUBBLICO__C","SYSTEMMODSTAMP","TESTO__C","TIPOLOGIA__C","UTENTE__C"
"a0Y1n00000KEhdBEAT","0051n000005bw6qAAA","2021-11-08T15:23:06.000Z","","a1007000000Xw29AAC","false","","0051n000005bw6qAAA","2021-11-08T15:23:06.000Z","","","UA-00002442","0050Y000001TnJCQA0","true","2021-11-08T15:23:06.000Z","","Visualizzazione","a121n000002aZPlAAM"
"a0Y1n00000KEcLfEAL","0051n000005bw6qAAA","2021-11-12T16:52:31.000Z","","a1007000000YCMpAAO","false","","0051n000005bw6qAAA","2021-11-12T16:52:31.000Z","","","UA-00002443","0050Y000001TnJCQA0","true","2021-11-12T16:52:31.000Z","","Visualizzazione","a121n000002aZPJAA2"
"a0Y1n00000KEhdBEAT","0051n000005bw6qAAA","2021-12-30T22:24:38.000Z","","a1007000000behsAAA","false","","0051n000005bw6qAAA","2021-12-30T22:24:38.000Z","","","UA-00002444","0050Y000001TnJCQA0","true","2021-12-30T22:24:38.000Z","","Like","a121n000002aZPQAA2"
"a0Y1n00000KEcLfEAL","0051n000005bw6qAAA","2022-01-09T19:31:30.000Z","","a1007000001lbqoAAA","false","","0051n000005bw6qAAA","2022-01-09T19:31:30.000Z","","","UA-00002445","0050Y000001TnJCQA0","true","2022-01-09T19:31:30.000Z","","Visualizzazione","a121n000002aZPqAAM"
"a0Y1n00000K5fDcEAJ","0051n000005bw6qAAA","2022-01-09T19:34:43.000Z","","a1007000001lbqtAAA","false","","0051n000005bw6qAAA","2022-01-09T19:34:43.000Z","","","UA-00002446","0050Y000001TnJCQA0","true","2022-01-09T19:34:43.000Z","","Visualizzazione","a121n000002aZPqAAM"
"a0Y1n00000KEhdBEAT","0051n000005bw6qAAA","2022-01-31T13:01:33.000Z","","a1007000001n1vSAAQ","false","","0051n000005bw6qAAA","2022-01-31T13:01:33.000Z","","","UA-00002447","0050Y000001TnJCQA0","true","2022-01-31T13:01:33.000Z","","Visualizzazione","a121n000002aZPJAA2"
"a0Y1n00000KEhdBEAT","0051n000005bw6qAAA","2022-02-25T06:25:05.000Z","","a1007000001ogjfAAA","false","","0051n000005bw6qAAA","2022-02-25T06:25:05.000Z","","","UA-00002449","0050Y000001TnJCQA0","true","2022-02-25T06:25:05.000Z","","Visualizzazione","a121n000002aZPXAA2"
"a0Y1n00000KEhdBEAT","0051n000005bw6qAAA","2022-02-25T06:25:09.000Z","","a1007000001ogjkAAA","false","","0051n000005bw6qAAA","2022-02-25T06:25:09.000Z","","","UA-00002450","0050Y000001TnJCQA0","true","2022-02-25T06:25:09.000Z","","Like","a121n000002aZPXAA2"
"a0Y1n00000KEhdBEAT","0051n000005bw6qAAA","2022-03-19T08:28:26.000Z","","a1007000002AooxAAC","false","","0051n000005bw6qAAA","2022-03-19T08:28:26.000Z","","","UA-00002451","0050Y000001TnJCQA0","true","2022-03-19T08:28:26.000Z","","Visualizzazione","a121n000002aZPqAAM"
"a0Y07000000CmZuEAK","0051n000005bw6qAAA","2022-03-24T11:20:05.000Z","","a1007000002B2bDAAS","false","","0051n000005bw6qAAA","2022-03-24T11:20:05.000Z","","","UA-00002454","0050Y000001TnJCQA0","true","2022-03-24T11:20:05.000Z","","Visualizzazione","a121n000002aZP1AAM"
