"ABILITA_NOTIFICHE__C","ABILITA_STORICO__C","AGGIUNTO_DA_UTENTE__C","CHAT__C","CREATEDBYID","CREATEDDATE","DATA_ORA_AGGIUNTA__C","DATA_ORA_RIMOZIONE__C","DATA_ORA_ULTIMO_ACCESSO__C","ID","ISDELETED","LASTACTIVITYDATE","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTREFERENCEDDATE","LASTVIEWEDDATE","NAME","OWNERID","RIMOSSO_DA_UTENTE__C","RUOLO_CHAT__C","SYSTEMMODSTAMP","UTENTE__C"
"true","true","a121n000002aZOzAAM","a2o1n000001MmyIAAS","0051n000005bw6qAAA","2021-02-18T13:35:51.000Z","2021-02-18T13:35:50.000Z","","","a2p1n000000vU9WAAU","false","","0051n000005bw6qAAA","2021-02-18T13:35:51.000Z","","","UCH-0000040","0050Y000001Te0YQAS","","guest","2021-02-18T13:35:51.000Z","a121n000002st8dAAA"
"true","true","a121n000002st9eAAA","a2o1n0000018BpsAAE","0051n000005bw6qAAA","2021-02-18T13:42:00.000Z","2021-02-18T13:42:00.000Z","","","a2p1n000000vU9bAAE","false","","0051n000005bw6qAAA","2021-02-18T13:42:00.000Z","","","UCH-0000041","0050Y000001Te0YQAS","","admin","2021-02-18T13:42:00.000Z","a121n000002st9eAAA"
"true","false","a121n000002st9eAAA","a2o1n0000018BpsAAE","0051n000005bw6qAAA","2021-02-18T13:42:00.000Z","2021-02-18T13:42:00.000Z","","","a2p1n000000vU9cAAE","false","","0051n000005bw6qAAA","2021-02-18T13:42:00.000Z","","","UCH-0000042","0050Y000001Te0YQAS","","guest","2021-02-18T13:42:00.000Z","a121n000002st8dAAA"
"true","true","a121n000002st9eAAA","a2o1n0000018BpsAAE","0051n000005bw6qAAA","2021-02-18T13:44:17.000Z","2021-02-18T13:44:17.000Z","","","a2p1n000000vU9gAAE","false","","0051n000005bw6qAAA","2021-02-18T13:44:17.000Z","","","UCH-0000043","0050Y000001Te0YQAS","","guest","2021-02-18T13:44:17.000Z","a121n000002aZOzAAM"
"true","true","a121n000002st9eAAA","a2o1n0000018BpsAAE","0051n000005bw6qAAA","2021-02-18T13:44:42.000Z","2021-02-18T13:44:42.000Z","","","a2p1n000000vU9lAAE","false","","0051n000005bw6qAAA","2021-02-18T13:44:42.000Z","","","UCH-0000044","0050Y000001Te0YQAS","","guest","2021-02-18T13:44:42.000Z","a121n000002aZP0AAM"
"true","false","a121n000002st9gAAA","a2o1n0000018MZaAAM","0050Y000002b7vuQAA","2021-04-08T07:51:18.000Z","2021-04-08T10:00:00.000Z","","","a2p1n000000vWFhAAM","false","","0050Y000002b7vuQAA","2021-04-08T07:57:22.000Z","","","UCH-0000045","0050Y000002b7vuQAA","","admin","2021-04-08T07:57:22.000Z","a121n000002st9gAAA"
"true","true","a121n000002st9gAAA","a2o1n0000018MeLAAU","0051n000005bw6qAAA","2021-04-08T11:46:05.000Z","2021-04-08T11:46:04.000Z","","","a2p1n000000vWGBAA2","false","","0051n000005bw6qAAA","2021-04-08T11:46:05.000Z","","","UCH-0000046","0050Y000001Te0YQAS","","admin","2021-04-08T11:46:05.000Z","a121n000002st9gAAA"
"true","false","a121n000002st9gAAA","a2o1n0000018MeLAAU","0051n000005bw6qAAA","2021-04-08T11:46:05.000Z","2021-04-08T11:46:04.000Z","","","a2p1n000000vWGCAA2","false","","0051n000005bw6qAAA","2021-04-08T11:46:05.000Z","","","UCH-0000047","0050Y000001Te0YQAS","","guest","2021-04-08T11:46:05.000Z","a121n000002aZlXAAU"
"true","true","a121n000002st9gAAA","a2o1n0000018MeQAAU","0051n000005bw6qAAA","2021-04-08T11:51:11.000Z","2021-04-08T11:51:11.000Z","","","a2p1n000000vWGaAAM","false","","0051n000005bw6qAAA","2021-04-08T11:51:11.000Z","","","UCH-0000048","0050Y000001Te0YQAS","","admin","2021-04-08T11:51:11.000Z","a121n000002st9gAAA"
"true","false","a121n000002st9gAAA","a2o1n0000018MeQAAU","0051n000005bw6qAAA","2021-04-08T11:51:11.000Z","2021-04-08T11:51:11.000Z","","","a2p1n000000vWGbAAM","false","","0051n000005bw6qAAA","2021-04-08T11:51:11.000Z","","","UCH-0000049","0050Y000001Te0YQAS","","guest","2021-04-08T11:51:11.000Z","a121n000002aZlXAAU"
"false","false","a121n000002st9gAAA","a2o1n0000018MeQAAU","0051n000005bw6qAAA","2021-04-08T11:51:11.000Z","2021-04-08T11:51:11.000Z","2021-04-08T11:52:13.000Z","","a2p1n000000vWGcAAM","false","","0051n000005bw6qAAA","2021-04-08T11:52:13.000Z","","","UCH-0000050","0050Y000001Te0YQAS","","guest","2021-04-08T11:52:13.000Z","a121n000002aZP1AAM"
"true","true","a121n000002st9gAAA","a2o1n0000018PISAA2","0051n000005bw6qAAA","2021-04-23T20:03:41.000Z","2021-04-23T20:03:41.000Z","","","a2p1n000000vXAHAA2","false","","0051n000005bw6qAAA","2021-04-23T20:03:41.000Z","","","UCH-0000051","0050Y000001TnJCQA0","","admin","2021-04-23T20:03:41.000Z","a121n000002st9gAAA"
"true","false","a121n000002st9gAAA","a2o1n0000018PISAA2","0051n000005bw6qAAA","2021-04-23T20:03:41.000Z","2021-04-23T20:03:41.000Z","","","a2p1n000000vXAIAA2","false","","0051n000005bw6qAAA","2021-04-23T20:03:41.000Z","","","UCH-0000052","0050Y000001TnJCQA0","","guest","2021-04-23T20:03:41.000Z","a121n000002aZP1AAM"
"true","true","a121n000002aZOzAAM","a2o1n000001MmuQAAS","0050Y000000NtQOQA0","2020-03-30T09:38:02.000Z","2020-03-30T09:37:00.000Z","","","a2p1n000001EYO5AAO","false","","0050Y000000NtQOQA0","2020-03-30T09:38:02.000Z","","","UC-000023","0050Y000000NtQOQA0","","admin","2020-03-30T09:38:02.000Z","a121n000002aZOzAAM"
"false","true","a121n000002aZOzAAM","a2o1n000001MmuQAAS","0050Y000000NtQOQA0","2020-03-30T09:38:34.000Z","2020-03-30T09:38:00.000Z","2021-02-23T09:02:38.000Z","","a2p1n000001EYOAAA4","false","","0051n000005bw6qAAA","2021-02-23T09:02:38.000Z","","","UC-000024","0050Y000000NtQOQA0","","guest","2021-02-23T09:02:38.000Z","a121n000002st9fAAA"
"true","true","a121n000002aZOzAAM","a2o1n000001MmuQAAS","0050Y000000NtQOQA0","2020-03-30T09:44:32.000Z","2020-03-30T09:42:00.000Z","","","a2p1n000001EYOBAA4","false","","0051n000005bw6qAAA","2021-02-23T09:02:26.000Z","","","UC-000026","0050Y000000NtQOQA0","","admin","2021-02-23T09:02:26.000Z","a121n000002st9gAAA"
"true","true","a121n000002aZOzAAM","a2o1n000001MmuQAAS","0050Y000000NtQOQA0","2020-03-30T09:40:13.000Z","2020-03-30T09:40:00.000Z","","","a2p1n000001EYOFAA4","false","","0050Y000000NtQOQA0","2020-03-30T09:41:08.000Z","","","UC-000025","0050Y000000NtQOQA0","","guest","2020-03-30T09:41:08.000Z","a121n000002st9hAAA"
"true","true","a121n000002st9fAAA","a2o1n000001MmyIAAS","0050Y000000NtQOQA0","2020-03-30T10:29:01.000Z","2020-03-30T10:28:00.000Z","","","a2p1n000001EYOPAA4","false","","0050Y000001Te0YQAS","2020-04-10T10:21:01.000Z","","","UC-000027","0050Y000000NtQOQA0","","admin","2020-04-10T10:21:01.000Z","a121n000002st9fAAA"
"true","true","a121n000002st9fAAA","a2o1n000001MmyIAAS","0050Y000000NtQOQA0","2020-03-30T10:29:38.000Z","2020-03-30T10:29:00.000Z","","","a2p1n000001EYOUAA4","false","","0050Y000001Te0YQAS","2020-04-10T10:20:31.000Z","","","UC-000028","0050Y000000NtQOQA0","","admin","2020-04-10T10:20:31.000Z","a121n000002aZOzAAM"
"false","true","a121n000002st9fAAA","a2o1n000001MmyIAAS","0050Y000000NtQOQA0","2020-03-30T10:32:03.000Z","2020-03-30T10:31:00.000Z","2020-04-10T10:21:15.000Z","","a2p1n000001EYOZAA4","false","","0051n000005bw6qAAA","2020-04-10T10:21:15.000Z","","","UC-000029","0050Y000000NtQOQA0","","guest","2020-04-10T10:21:15.000Z","a121n000002aZP0AAM"
