"AREA_PERMESSI_VISUALIZZAZIONE__C","AREA_RUOLO__C","CREATEDBYID","CREATEDDATE","GRUPPO_MASTER__C","GRUPPO__C","ID","ISDELETED","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTREFERENCEDDATE","LASTVIEWEDDATE","MARCHIO__C","NAME","NOME_GRUPPO__C","OWNERID","PRIVILEGI__C","SIGLA_GRUPPO__C","SYSTEMMODSTAMP","TIPOLOGIA_GRUPPO__C","UTENTE__C"
"After Sales;Marketing;Sales;TIM;TFS;TFM","After Sales;Marketing;Sales;TIM;TFS;TFM","0050Y000002b7vuQAA","2022-04-13T15:26:30.000Z","","a0j1n00000BRua2AAD","a11070000050zCPAAY","false","0050Y000002b7vuQAA","2022-04-13T15:26:30.000Z","","","Toyota","UG-0000884","Area A","0050Y000002b7vuQAA","RispPoll;VisRis","A TFS","2022-04-13T15:26:30.000Z","Zona","a1207000000g6JDAAY"
"After Sales;Marketing;Sales;TIM;TFS;TFM","After Sales;Marketing;Sales;TIM;TFS;TFM","0050Y000002b7vuQAA","2022-04-13T15:29:42.000Z","","a0j1n00000BRuacAAD","a11070000050zEjAAI","false","0050Y000002b7vuQAA","2022-04-13T15:29:42.000Z","","","Toyota","UG-0000888","Area A","0050Y000002b7vuQAA","RispPoll;VisRis","A TFM","2022-04-13T15:29:42.000Z","Zona","a1207000000g6JDAAY"
"After Sales;Marketing;Sales;TIM;TFS;TFM","After Sales;Marketing;Sales;TIM;TFS;TFM","0050Y000002b7vuQAA","2022-04-13T15:30:55.000Z","","a0j1n00000BRuavAAD","a11070000050zEkAAI","false","0050Y000002b7vuQAA","2022-04-13T15:30:55.000Z","","","Lexus","UG-0000891","Area A","0050Y000002b7vuQAA","RispPoll;VisRis","A Kinto","2022-04-13T15:30:55.000Z","Zona","a1207000000g6JDAAY"
"After Sales;Marketing;Sales;TIM;TFS;TFM;Finance;Network Development;Kinto","After Sales;Marketing;Sales;TIM;TFS;TFM","0050Y000002b7vuQAA","2022-04-13T15:31:28.000Z","","a0j1n00000DfGtGAAV","a11070000050zElAAI","false","0050Y000002b7vuQAA","2022-04-13T15:31:28.000Z","","","Toyota","UG-0000892","Zona A","0050Y000002b7vuQAA","RispPoll;VisRis","A LCV","2022-04-13T15:31:28.000Z","Zona","a1207000000g6JDAAY"
"After Sales;Marketing;Sales;TIM;TFS;TFM","After Sales;Marketing;Sales;TIM;TFS;TFM","0050Y000002b7vuQAA","2022-04-13T15:28:33.000Z","","a0j1n00000BRuaXAAT","a11070000050zFRAAY","false","0050Y000002b7vuQAA","2022-04-13T15:28:33.000Z","","","Lexus","UG-0000887","Area L","0050Y000002b7vuQAA","RispPoll;VisRis","L TIM","2022-04-13T15:28:33.000Z","Zona","a1207000000g6JDAAY"
"After Sales;Marketing;Sales;TIM;TFS;TFM","After Sales;Marketing;Sales;TIM;TFS;TFM","0050Y000002b7vuQAA","2022-04-13T15:30:07.000Z","","a0j1n00000BRuaiAAD","a11070000050zFSAAY","false","0050Y000002b7vuQAA","2022-04-13T15:30:07.000Z","","","Lexus","UG-0000889","Area A","0050Y000002b7vuQAA","RispPoll;VisRis","A TFM","2022-04-13T15:30:07.000Z","Zona","a1207000000g6JDAAY"
"After Sales;Marketing;Sales;TIM;TFS;TFM","After Sales;Marketing;Sales;TIM;TFS;TFM","0050Y000002b7vuQAA","2022-04-13T15:25:00.000Z","","a0j1n00000BDAauAAH","a11070000050zCNAAY","false","0050Y000002b7vuQAA","2022-04-13T15:25:00.000Z","","","Toyota","UG-0000882","Zona B","0050Y000002b7vuQAA","RispPoll;VisRis","B","2022-04-13T15:25:00.000Z","Zona","a1207000000g6JDAAY"
"After Sales;Marketing;Sales;TIM;TFS;TFM","After Sales;Marketing;Sales;TIM;TFS;TFM","0050Y000002b7vuQAA","2022-04-13T15:25:28.000Z","","a0j1n00000BDAb7AAH","a11070000050zCOAAY","false","0050Y000002b7vuQAA","2022-04-13T15:25:28.000Z","","","Lexus","UG-0000883","Zona 2","0050Y000002b7vuQAA","RispPoll;VisRis","2","2022-04-13T15:25:28.000Z","Zona","a1207000000g6JDAAY"
"After Sales;Marketing;Sales;TIM;TFS;TFM","After Sales;Marketing;Sales;TIM;TFS;TFM","0050Y000002b7vuQAA","2022-04-13T15:30:31.000Z","","a0j1n00000BRuarAAD","a11070000050zGPAAY","false","0050Y000002b7vuQAA","2022-04-13T15:30:31.000Z","","","Toyota","UG-0000890","Area A","0050Y000002b7vuQAA","RispPoll;VisRis","A Kinto","2022-04-13T15:30:31.000Z","Zona","a1207000000g6JDAAY"
"After Sales;Marketing;Sales;TIM;TFS;TFM","After Sales;Marketing;Sales;TIM;TFS;TFM","0050Y000002b7vuQAA","2022-04-13T15:27:17.000Z","","a0j1n00000BRuaQAAT","a11070000050zEiAAI","false","0050Y000002b7vuQAA","2022-04-13T15:27:17.000Z","","","Toyota","UG-0000886","Area L","0050Y000002b7vuQAA","RispPoll;VisRis","L TIM","2022-04-13T15:27:17.000Z","Zona","a1207000000g6JDAAY"
