"CREATEDBYID","CREATEDDATE","ID","ISDELETED","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTREFERENCEDDATE","LASTVIEWEDDATE","NAME","OWNERID","SYSTEMMODSTAMP","TIPOLOGIA__C","UTENTE__C"
"0050E00000527RMQAY","2019-10-17T07:35:29.000Z","a4y0E0000005NmsQAE","false","0050E00000527RMQAY","2019-10-17T07:35:29.000Z","","","ACC-00001723","0050E00000527RMQAY","2019-10-17T07:35:29.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T08:31:41.000Z","a4y0E0000005NmxQAE","false","0050E00000527RMQAY","2019-10-17T08:31:41.000Z","","","ACC-00001724","0050E00000527RMQAY","2019-10-17T08:31:41.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T08:34:09.000Z","a4y0E0000005Nn2QAE","false","0050E00000527RMQAY","2019-10-17T08:34:09.000Z","","","ACC-00001725","0050E00000527RMQAY","2019-10-17T08:34:09.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T08:37:05.000Z","a4y0E0000005Nn7QAE","false","0050E00000527RMQAY","2019-10-17T08:37:05.000Z","","","ACC-00001726","0050E00000527RMQAY","2019-10-17T08:37:05.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T08:38:45.000Z","a4y0E0000005NnCQAU","false","0050E00000527RMQAY","2019-10-17T08:38:45.000Z","","","ACC-00001727","0050E00000527RMQAY","2019-10-17T08:38:45.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T08:40:52.000Z","a4y0E0000005NnHQAU","false","0050E00000527RMQAY","2019-10-17T08:40:52.000Z","","","ACC-00001728","0050E00000527RMQAY","2019-10-17T08:40:52.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T08:54:05.000Z","a4y0E0000005NnMQAU","false","0050E00000527RMQAY","2019-10-17T08:54:05.000Z","","","ACC-00001729","0050E00000527RMQAY","2019-10-17T08:54:05.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T08:55:36.000Z","a4y0E0000005NnRQAU","false","0050E00000527RMQAY","2019-10-17T08:55:36.000Z","","","ACC-00001730","0050E00000527RMQAY","2019-10-17T08:55:36.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T08:57:35.000Z","a4y0E0000005NnWQAU","false","0050E00000527RMQAY","2019-10-17T08:57:35.000Z","","","ACC-00001731","0050E00000527RMQAY","2019-10-17T08:57:35.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T08:58:46.000Z","a4y0E0000005NnbQAE","false","0050E00000527RMQAY","2019-10-17T08:58:46.000Z","","","ACC-00001732","0050E00000527RMQAY","2019-10-17T08:58:46.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T09:00:27.000Z","a4y0E0000005NngQAE","false","0050E00000527RMQAY","2019-10-17T09:00:27.000Z","","","ACC-00001733","0050E00000527RMQAY","2019-10-17T09:00:27.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T09:06:18.000Z","a4y0E0000005NnlQAE","false","0050E00000527RMQAY","2019-10-17T09:06:18.000Z","","","ACC-00001734","0050E00000527RMQAY","2019-10-17T09:06:18.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T09:08:00.000Z","a4y0E0000005NnqQAE","false","0050E00000527RMQAY","2019-10-17T09:08:00.000Z","","","ACC-00001735","0050E00000527RMQAY","2019-10-17T09:08:00.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T09:10:47.000Z","a4y0E0000005NnvQAE","false","0050E00000527RMQAY","2019-10-17T09:10:47.000Z","","","ACC-00001736","0050E00000527RMQAY","2019-10-17T09:10:47.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T09:14:37.000Z","a4y0E0000005No0QAE","false","0050E00000527RMQAY","2019-10-17T09:14:37.000Z","","","ACC-00001737","0050E00000527RMQAY","2019-10-17T09:14:37.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T09:14:55.000Z","a4y0E0000005No5QAE","false","0050E00000527RMQAY","2019-10-17T09:14:55.000Z","","","ACC-00001738","0050E00000527RMQAY","2019-10-17T09:14:55.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T09:17:06.000Z","a4y0E0000005NoAQAU","false","0050E00000527RMQAY","2019-10-17T09:17:06.000Z","","","ACC-00001739","0050E00000527RMQAY","2019-10-17T09:17:06.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T09:18:46.000Z","a4y0E0000005NoFQAU","false","0050E00000527RMQAY","2019-10-17T09:18:46.000Z","","","ACC-00001740","0050E00000527RMQAY","2019-10-17T09:18:46.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T09:24:23.000Z","a4y0E0000005NoKQAU","false","0050E00000527RMQAY","2019-10-17T09:24:23.000Z","","","ACC-00001741","0050E00000527RMQAY","2019-10-17T09:24:23.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T09:25:56.000Z","a4y0E0000005NoPQAU","false","0050E00000527RMQAY","2019-10-17T09:25:56.000Z","","","ACC-00001742","0050E00000527RMQAY","2019-10-17T09:25:56.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T09:26:39.000Z","a4y0E0000005NoUQAU","false","0050E00000527RMQAY","2019-10-17T09:26:39.000Z","","","ACC-00001743","0050E00000527RMQAY","2019-10-17T09:26:39.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T09:27:49.000Z","a4y0E0000005NoZQAU","false","0050E00000527RMQAY","2019-10-17T09:27:49.000Z","","","ACC-00001744","0050E00000527RMQAY","2019-10-17T09:27:49.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T09:28:12.000Z","a4y0E0000005NoeQAE","false","0050E00000527RMQAY","2019-10-17T09:28:12.000Z","","","ACC-00001745","0050E00000527RMQAY","2019-10-17T09:28:12.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T09:30:00.000Z","a4y0E0000005NojQAE","false","0050E00000527RMQAY","2019-10-17T09:30:00.000Z","","","ACC-00001746","0050E00000527RMQAY","2019-10-17T09:30:00.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T09:36:33.000Z","a4y0E0000005NooQAE","false","0050E00000527RMQAY","2019-10-17T09:36:33.000Z","","","ACC-00001747","0050E00000527RMQAY","2019-10-17T09:36:33.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T09:37:09.000Z","a4y0E0000005NotQAE","false","0050E00000527RMQAY","2019-10-17T09:37:09.000Z","","","ACC-00001748","0050E00000527RMQAY","2019-10-17T09:37:09.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T09:43:24.000Z","a4y0E0000005NoyQAE","false","0050E00000527RMQAY","2019-10-17T09:43:24.000Z","","","ACC-00001749","0050E00000527RMQAY","2019-10-17T09:43:24.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T09:46:24.000Z","a4y0E0000005Np3QAE","false","0050E00000527RMQAY","2019-10-17T09:46:24.000Z","","","ACC-00001750","0050E00000527RMQAY","2019-10-17T09:46:24.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T09:47:04.000Z","a4y0E0000005Np8QAE","false","0050E00000527RMQAY","2019-10-17T09:47:04.000Z","","","ACC-00001751","0050E00000527RMQAY","2019-10-17T09:47:04.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T10:05:30.000Z","a4y0E0000005NpDQAU","false","0050E00000527RMQAY","2019-10-17T10:05:30.000Z","","","ACC-00001752","0050E00000527RMQAY","2019-10-17T10:05:30.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T10:26:24.000Z","a4y0E0000005NpIQAU","false","0050E00000527RMQAY","2019-10-17T10:26:24.000Z","","","ACC-00001753","0050E00000527RMQAY","2019-10-17T10:26:24.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T10:44:11.000Z","a4y0E0000005NpNQAU","false","0050E00000527RMQAY","2019-10-17T10:44:11.000Z","","","ACC-00001754","0050E00000527RMQAY","2019-10-17T10:44:11.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T12:22:50.000Z","a4y0E0000005NpSQAU","false","0050E00000527RMQAY","2019-10-17T12:22:50.000Z","","","ACC-00001755","0050E00000527RMQAY","2019-10-17T12:22:50.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T12:23:31.000Z","a4y0E0000005NpXQAU","false","0050E00000527RMQAY","2019-10-17T12:23:31.000Z","","","ACC-00001756","0050E00000527RMQAY","2019-10-17T12:23:31.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T12:25:33.000Z","a4y0E0000005NpcQAE","false","0050E00000527RMQAY","2019-10-17T12:25:33.000Z","","","ACC-00001757","0050E00000527RMQAY","2019-10-17T12:25:33.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T12:27:42.000Z","a4y0E0000005NphQAE","false","0050E00000527RMQAY","2019-10-17T12:27:42.000Z","","","ACC-00001758","0050E00000527RMQAY","2019-10-17T12:27:42.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T12:29:50.000Z","a4y0E0000005NpmQAE","false","0050E00000527RMQAY","2019-10-17T12:29:50.000Z","","","ACC-00001759","0050E00000527RMQAY","2019-10-17T12:29:50.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T12:30:02.000Z","a4y0E0000005NprQAE","false","0050E00000527RMQAY","2019-10-17T12:30:02.000Z","","","ACC-00001760","0050E00000527RMQAY","2019-10-17T12:30:02.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T12:31:57.000Z","a4y0E0000005NpwQAE","false","0050E00000527RMQAY","2019-10-17T12:31:57.000Z","","","ACC-00001761","0050E00000527RMQAY","2019-10-17T12:31:57.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T12:32:20.000Z","a4y0E0000005Nq1QAE","false","0050E00000527RMQAY","2019-10-17T12:32:20.000Z","","","ACC-00001762","0050E00000527RMQAY","2019-10-17T12:32:20.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T12:39:33.000Z","a4y0E0000005Nq6QAE","false","0050E00000527RMQAY","2019-10-17T12:39:33.000Z","","","ACC-00001763","0050E00000527RMQAY","2019-10-17T12:39:33.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T12:39:54.000Z","a4y0E0000005NqBQAU","false","0050E00000527RMQAY","2019-10-17T12:39:54.000Z","","","ACC-00001764","0050E00000527RMQAY","2019-10-17T12:39:54.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T12:40:57.000Z","a4y0E0000005NqGQAU","false","0050E00000527RMQAY","2019-10-17T12:40:57.000Z","","","ACC-00001765","0050E00000527RMQAY","2019-10-17T12:40:57.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T12:43:28.000Z","a4y0E0000005NqLQAU","false","0050E00000527RMQAY","2019-10-17T12:43:28.000Z","","","ACC-00001766","0050E00000527RMQAY","2019-10-17T12:43:28.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T12:45:52.000Z","a4y0E0000005NqQQAU","false","0050E00000527RMQAY","2019-10-17T12:45:52.000Z","","","ACC-00001767","0050E00000527RMQAY","2019-10-17T12:45:52.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T12:47:32.000Z","a4y0E0000005NqVQAU","false","0050E00000527RMQAY","2019-10-17T12:47:32.000Z","","","ACC-00001768","0050E00000527RMQAY","2019-10-17T12:47:32.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T12:47:48.000Z","a4y0E0000005NqaQAE","false","0050E00000527RMQAY","2019-10-17T12:47:48.000Z","","","ACC-00001769","0050E00000527RMQAY","2019-10-17T12:47:48.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T13:11:59.000Z","a4y0E0000005NqfQAE","false","0050E00000527RMQAY","2019-10-17T13:11:59.000Z","","","ACC-00001770","0050E00000527RMQAY","2019-10-17T13:11:59.000Z","","a4n0E000000n0wsQAA"
