"ANNO__C","BENCHMARK__C","COD_CASA__C","COD_KPI__C","CREATEDBYID","CREATEDDATE","DISTRETTO__C","GRUPPO__C","ID","ISDELETED","LASTACTIVITYDATE","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTREFERENCEDDATE","LASTVIEWEDDATE","MARCHIO__C","MESE__C","NAME","NOME_DEALER__C","NON_VISUALIZZARE__C","OWNERID","SYSTEMMODSTAMP","VALUE__C","ZONA__C"
"2021.0","67.5","000467","a0j0E00000BM8FeQAL","0050Y000000NtQOQA0","2021-04-12T14:39:43.000Z","3","G1","a0l0E000008QUXZQA4","false","","0050Y000000NtQOQA0","2021-04-12T14:39:43.000Z","","","Toyota","4.0","BR-00000002","Zerocento","false","0050Y000000NtQOQA0","2021-04-12T14:39:43.000Z","100.0","F"
"2021.0","78.0","002378","a0j0E00000BM8FWQA1","0050Y000000NtQOQA0","2021-04-12T14:39:43.000Z","0","GU","a0l0E000008QUXaQAO","false","","0050Y000000NtQOQA0","2021-04-12T14:39:43.000Z","","","Lexus","4.0","BR-00000003","Gruppo M","false","0050Y000000NtQOQA0","2021-04-12T14:39:43.000Z","100.0","3"
"2021.0","78.0","002401","a0j0E00000BM8FWQA1","0050Y000000NtQOQA0","2021-04-12T14:39:43.000Z","0","GU","a0l0E000008QUXbQAO","false","","0050Y000000NtQOQA0","2021-04-12T14:39:43.000Z","","","Lexus","4.0","BR-00000004","Toy Motor","false","0050Y000000NtQOQA0","2021-04-12T14:39:43.000Z","100.0","3"
"2021.0","78.9","000567","a0j0E00000BM8FUQA1","0050Y000000NtQOQA0","2021-04-12T14:39:43.000Z","1","G2","a0l0E000008QUXcQAO","false","","0050Y000000NtQOQA0","2021-04-12T14:39:43.000Z","","","Toyota","4.0","BR-00000005","Sef Car","false","0050Y000000NtQOQA0","2021-04-12T14:39:43.000Z","100.0","B"
"2021.0","87.8","000167","a0j0E00000BM8FbQAL","0050Y000000NtQOQA0","2021-04-12T14:39:43.000Z","1","G2","a0l0E000008QUXdQAO","false","","0050Y000000NtQOQA0","2021-04-12T14:39:43.000Z","","","Toyota","4.0","BR-00000006","Fuji Auto","false","0050Y000000NtQOQA0","2021-04-12T14:39:43.000Z","100.0","A"
"2021.0","97.1","000579","a0j0E00000BM8FbQAL","0050Y000000NtQOQA0","2021-04-12T14:39:43.000Z","1","G1","a0l0E000008QUXeQAO","false","","0050Y000000NtQOQA0","2021-04-12T14:39:43.000Z","","","Toyota","4.0","BR-00000007","Spazio 4","false","0050Y000000NtQOQA0","2021-04-12T14:39:43.000Z","100.0","A"
"2021.0","97.1","000467","a0j0E00000BM8FbQAL","0050Y000000NtQOQA0","2021-04-12T14:39:43.000Z","3","G1","a0l0E000008QUXfQAO","false","","0050Y000000NtQOQA0","2021-04-12T14:39:43.000Z","","","Toyota","4.0","BR-00000008","Zerocento","false","0050Y000000NtQOQA0","2021-04-12T14:39:43.000Z","100.0","F"
"2021.0","100.0","000548","a0j0E00000BM8FSQA1","0050Y000000NtQOQA0","2021-04-12T14:39:43.000Z","3","G3","a0l0E000008QUXgQAO","false","","0050Y000000NtQOQA0","2021-04-12T14:39:43.000Z","","","Toyota","4.0","BR-00000009","A. Corvi","false","0050Y000000NtQOQA0","2021-04-12T14:39:43.000Z","100.0","F"
"2021.0","100.0","000596","a0j0E00000BM8FSQA1","0050Y000000NtQOQA0","2021-04-12T14:39:43.000Z","1","G1","a0l0E000008QUXhQAO","false","","0050Y000000NtQOQA0","2021-04-12T14:39:43.000Z","","","Toyota","4.0","BR-00000010","Activa","false","0050Y000000NtQOQA0","2021-04-12T14:39:43.000Z","100.0","C"
"2021.0","100.0","002360","a0j0E00000BM8FSQA1","0050Y000000NtQOQA0","2021-04-12T14:39:43.000Z","0","GU","a0l0E000008QUXiQAO","false","","0050Y000000NtQOQA0","2021-04-12T14:39:43.000Z","","","Lexus","4.0","BR-00000011","Amicar","false","0050Y000000NtQOQA0","2021-04-12T14:39:43.000Z","100.0","4"
