"APP__C","CAMPO_BOOLEANO__C","CAMPO_DATA_ORA__C","CAMPO_DATA__C","CAMPO_NUMERICO__C","CAMPO_TESTUALE__C","CHIAVE__C","CREATEDBYID","CREATEDDATE","ID","ISDELETED","LASTMODIFIEDBYID","LASTMODIFIEDDATE","NAME","OWNERID","SEZIONE__C","SYSTEMMODSTAMP","TIPOLOGIA_CAMPO__C"
"a4l0E000000DvYeQAK","false","","","","#FF7F00","colore_arancione","0050E000000SMCWQA4","2019-09-11T08:53:51.000Z","a4t0E000000D1c1QAC","false","0050E000000SMCWQA4","2019-09-11T08:54:01.000Z","CA-000002","0050E000000SMCWQA4","Grafici","2019-09-11T08:54:02.000Z","Testuale"
"a4l0E000000DvYeQAK","false","","","","#1b5e20","colore_verde_scuro","0050E000000SMCWQA4","2019-09-11T08:55:08.000Z","a4t0E000000D1cBQAS","false","0050E000000SMCWQA4","2019-09-11T08:55:08.000Z","CA-000005","0050E000000SMCWQA4","Grafici","2019-09-11T08:55:08.000Z","Testuale"
"a4l0E000000DvYeQAK","false","","","","#CC0033","colore_rosso","0050E000000SMCWQA4","2019-09-11T08:53:23.000Z","a4t0E000000D1bwQAC","false","0050E000000SMCWQA4","2019-09-11T08:58:18.000Z","CA-000001","0050E000000SMCWQA4","Grafici","2019-09-11T08:58:18.000Z","Testuale"
"a4l0E000000DvYeQAK","false","","","","#4caf50","colore_verde_chiaro","0050E000000SMCWQA4","2019-09-11T08:54:44.000Z","a4t0E000000D1bxQAC","false","0050E000000SMCWQA4","2019-09-11T08:54:44.000Z","CA-000004","0050E000000SMCWQA4","Grafici","2019-09-11T08:54:44.000Z","Testuale"
"a4l0E000000DvYeQAK","false","","","","#1b5e20","colore_verde_scuro","0050E000000SMCWQA4","2019-09-11T08:56:00.000Z","a4t0E000000D1byQAC","false","0050E000000SMCWQA4","2019-09-11T08:58:39.000Z","CA-000008","0050E000000SMCWQA4","Dealer Map","2019-09-11T08:58:39.000Z","Testuale"
"a4l0E000000DvYeQAK","false","","","","La <strong>Dealer List</strong> elenca tutti i Concessionari appartenenti all'area di competenza del Manager. I Concessionari rispondenti nel periodo considerato compaiono nella Dealer List, con color coding da rosso a verde, a seconda del quadrante in cui si posizionano nella <strong>Dealer Map</strong> rispetto alla media del gruppo.","dealer_list_info_it","0050E000000SMCWQA4","2020-01-17T10:30:50.000Z","a4t0E0000009lHnQAI","false","0050E000000SMCWQA4","2020-01-17T10:30:50.000Z","CA-000010","0050E000000SMCWQA4","Generale","2020-01-17T10:30:50.000Z","Testuale"
"a4l0E000000DvYeQAK","false","","","","#fdd835","colore_giallo","0050E000000SMCWQA4","2019-09-11T08:55:41.000Z","a4t0E000000D1cLQAS","false","0050E000000SMCWQA4","2019-09-11T08:55:41.000Z","CA-000007","0050E000000SMCWQA4","Dealer Map","2019-09-11T08:55:41.000Z","Testuale"
"a4l0E000000DvYeQAK","false","","","","#fdd835","colore_giallo","0050E000000SMCWQA4","2019-09-11T08:54:24.000Z","a4t0E000000D1c6QAC","false","0050E000000SMCWQA4","2019-09-11T08:54:24.000Z","CA-000003","0050E000000SMCWQA4","Grafici","2019-09-11T08:54:24.000Z","Testuale"
"a4l0E000000DvYeQAK","false","","","","#CC0033","colore_rosso","0050E000000SMCWQA4","2019-09-11T08:55:27.000Z","a4t0E000000D1cGQAS","false","0050E000000SMCWQA4","2019-09-11T08:55:27.000Z","CA-000006","0050E000000SMCWQA4","Dealer Map","2019-09-11T08:55:27.000Z","Testuale"
"a4l0E000000DvYeQAK","false","","","","Lasciaci un commento","label_commento_quesito_it","0050E000000SMCWQA4","2019-12-20T09:43:42.000Z","a4t0E0000009kyAQAQ","false","0050E000000SMCWQA4","2020-01-17T10:34:16.000Z","CA-000009","0050E000000SMCWQA4","Generale","2020-01-17T10:34:16.000Z","Testuale"
