"ARTICOLO__C","CREATEDBYID","CREATEDDATE","GRUPPO__C","ID","ISDELETED","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTREFERENCEDDATE","LASTVIEWEDDATE","NAME","OWNERID","SYSTEMMODSTAMP"
"a4z0E000000EyFqQAK","0050E000005VHptQAG","2019-09-10T10:41:26.000Z","a4o0E0000000iYlQAI","a560E000000EcUaQAK","false","0050E000005VHptQAG","2019-09-10T10:41:26.000Z","","","GA-00000007","0050E000005VHptQAG","2019-09-10T10:41:26.000Z"
"a4z0E000000EyFvQAK","0050E000005VHptQAG","2019-09-10T13:18:49.000Z","a4o0E0000000iYmQAI","a560E000000EcUfQAK","false","0050E000005VHptQAG","2019-09-10T13:18:49.000Z","","","GA-00000008","0050E000005VHptQAG","2019-09-10T13:18:49.000Z"
"a4z0E0000006kffQAA","0050E000000SMCWQA4","2019-12-03T10:17:18.000Z","a4o0E0000000iYlQAI","a560E0000000mwdQAA","false","0050E000000SMCWQA4","2019-12-03T10:17:18.000Z","","","GA-00000012","0050E000000SMCWQA4","2019-12-03T10:17:18.000Z"
"a4z0E000000EyEsQAK","0050E000000SMCWQA4","2019-12-16T11:23:31.000Z","a4o0E0000004fEyQAI","a560E0000000nEGQAY","false","0050E000000SMCWQA4","2019-12-16T11:23:31.000Z","","","GA-00000013","0050E000000SMCWQA4","2019-12-16T11:23:31.000Z"
"a4z0E000000EyqhQAC","0050E000000SMCWQA4","2019-10-11T10:36:48.000Z","a4o0E0000000iYlQAI","a560E000000EefpQAC","false","0050E000000SMCWQA4","2019-10-11T10:36:48.000Z","","","GA-00000011","0050E000000SMCWQA4","2019-10-11T10:36:48.000Z"
"a4z0E000000EyF7QAK","0050E000005VHptQAG","2019-09-10T09:39:52.000Z","a4o0E0000000iYmQAI","a560E000000EcTXQA0","false","0050E000005VHptQAG","2019-09-10T09:39:52.000Z","","","GA-00000006","0050E000005VHptQAG","2019-09-10T09:39:52.000Z"
"a4z0E000000EyF2QAK","0050E000005VHptQAG","2019-09-10T09:26:49.000Z","a4o0E0000000iYlQAI","a560E000000EcTSQA0","false","0050E000005VHptQAG","2019-09-10T09:26:49.000Z","","","GA-00000005","0050E000005VHptQAG","2019-09-10T09:26:49.000Z"
"a4z0E000000EyEsQAK","0050E000000SMCWQA4","2019-09-10T08:33:44.000Z","a4o0E0000000iYlQAI","a560E000000EcTIQA0","false","0050E000005VHptQAG","2019-09-10T09:15:05.000Z","","","GA-00000003","0050E000000SMCWQA4","2019-09-10T09:15:05.000Z"
"a4z0E00000021pPQAQ","0050E000000SMCWQA4","2020-04-15T16:24:52.000Z","a4o0E0000000iYmQAI","a560E0000009rRuQAI","false","0050E000000SMCWQA4","2020-04-15T16:24:52.000Z","","","GA-00000017","0050E000000SMCWQA4","2020-04-15T16:24:52.000Z"
"a4z0E000000EyHSQA0","0050E000005VHptQAG","2019-09-11T11:04:37.000Z","a4o0E0000000iYmQAI","a560E000000EcXtQAK","false","0050E000005VHptQAG","2019-09-11T11:04:37.000Z","","","GA-00000009","0050E000005VHptQAG","2019-09-11T11:04:37.000Z"
"a4z0E000000EyExQAK","0050E000000SMCWQA4","2019-09-10T08:34:07.000Z","a4o0E0000000iYlQAI","a560E000000EcTNQA0","false","0050E000000SMCWQA4","2019-09-10T08:39:27.000Z","","","GA-00000004","0050E000000SMCWQA4","2019-09-10T08:39:27.000Z"
"a4z0E00000021ovQAA","0050E000000SMCWQA4","2020-04-15T13:41:27.000Z","a4o0E0000000iYmQAI","a560E0000009rQXQAY","false","0050E000000SMCWQA4","2020-04-15T13:41:27.000Z","","","GA-00000015","0050E000000SMCWQA4","2020-04-15T13:41:27.000Z"
"a4z0E000000EyI1QAK","0050E000005VHptQAG","2019-09-11T13:03:59.000Z","a4o0E0000000iYlQAI","a560E000000EcZYQA0","false","0050E000005VHptQAG","2019-09-11T13:03:59.000Z","","","GA-00000010","0050E000005VHptQAG","2019-09-11T13:03:59.000Z"
"a4z0E000000EyExQAK","0050E000000SMCWQA4","2019-12-16T11:24:07.000Z","a4o0E0000004fEyQAI","a560E0000000nELQAY","false","0050E000000SMCWQA4","2019-12-16T11:24:07.000Z","","","GA-00000014","0050E000000SMCWQA4","2019-12-16T11:24:07.000Z"
"a4z0E00000021pFQAQ","0050E000000SMCWQA4","2020-04-15T15:27:41.000Z","a4o0E0000000iYmQAI","a560E0000009rRpQAI","false","0050E000000SMCWQA4","2020-04-15T15:27:41.000Z","","","GA-00000016","0050E000000SMCWQA4","2020-04-15T15:27:41.000Z"
