"CREATEDBYID","CREATEDDATE","ETICHETTA_RISULTATI_EN__C","ETICHETTA_RISULTATI_IT__C","ID","INSIEME_OPZIONI_DOMANDA__C","ISDELETED","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTREFERENCEDDATE","LASTVIEWEDDATE","NAME","OPZIONE_DOMANDA_EN__C","OPZIONE_DOMANDA_IT__C","ORDINE__C","OWNERID","SYSTEMMODSTAMP","VALORE_NUMERICO__C","VALORE_TESTUALE__C"
"0050Y000000NtQOQA0","2019-07-19T15:06:11.000Z","","Molto","a4v0E000000DbQLQA0","a4m0E000000DaDGQA0","false","0050E000005VHptQAG","2019-09-09T07:27:46.000Z","","","OD-00000006","","Sì, hanno molto talento","1.0","0050Y000000NtQOQA0","2019-09-09T07:27:46.000Z","5.0","Molto"
"0050Y000000NtQOQA0","2019-07-19T15:06:11.000Z","","Abbastanza","a4v0E000000DbQMQA0","a4m0E000000DaDGQA0","false","0050E000005VHptQAG","2019-09-09T07:27:46.000Z","","","OD-00000007","","Credo di sì, sono abbastanza preparati e competenti","2.0","0050Y000000NtQOQA0","2019-09-09T07:27:46.000Z","4.0","Abbastanza"
"0050Y000000NtQOQA0","2019-07-19T15:06:11.000Z","","Sufficientemente","a4v0E000000DbQNQA0","a4m0E000000DaDGQA0","false","0050E000005VHptQAG","2019-09-09T07:27:46.000Z","","","OD-00000008","","Sufficientemente","3.0","0050Y000000NtQOQA0","2019-09-09T07:27:46.000Z","3.0","Sufficientemente"
"0050Y000000NtQOQA0","2019-07-19T15:06:11.000Z","","Non sufficiente","a4v0E000000DbQOQA0","a4m0E000000DaDGQA0","false","0050E000005VHptQAG","2019-09-09T07:27:46.000Z","","","OD-00000009","","Non ne sono certo, forse necessitano di supporto","4.0","0050Y000000NtQOQA0","2019-09-09T07:27:46.000Z","2.0","Non sufficiente"
"0050Y000000NtQOQA0","2019-07-19T15:06:11.000Z","","No","a4v0E000000DbQPQA0","a4m0E000000DaDGQA0","false","0050E000005VHptQAG","2019-09-09T07:27:46.000Z","","","OD-00000010","","No, devo sicuramente intervenire","5.0","0050Y000000NtQOQA0","2019-09-09T07:27:46.000Z","1.0","No"
"0050Y000000NtQOQA0","2019-07-19T15:06:12.000Z","","Molto","a4v0E000000DbQaQAK","a4m0E000000DaDJQA0","false","0050E000005VHptQAG","2019-09-09T07:27:46.000Z","","","OD-00000021","","Assolutamente coerenti","1.0","0050Y000000NtQOQA0","2019-09-09T07:27:46.000Z","5.0","Molto"
"0050Y000000NtQOQA0","2019-07-19T15:06:12.000Z","","Abbastanza","a4v0E000000DbQbQAK","a4m0E000000DaDJQA0","false","0050E000005VHptQAG","2019-09-09T07:27:46.000Z","","","OD-00000022","","Abbastanza coerenti","2.0","0050Y000000NtQOQA0","2019-09-09T07:27:46.000Z","4.0","Abbastanza"
"0050Y000000NtQOQA0","2019-07-19T15:06:12.000Z","","Mediamente","a4v0E000000DbQcQAK","a4m0E000000DaDJQA0","false","0050E000005VHptQAG","2019-09-09T07:27:46.000Z","","","OD-00000023","","Mediamente coerenti","3.0","0050Y000000NtQOQA0","2019-09-09T07:27:46.000Z","3.0","Mediamente"
"0050Y000000NtQOQA0","2019-07-19T15:06:12.000Z","","Poco","a4v0E000000DbQdQAK","a4m0E000000DaDJQA0","false","0050E000005VHptQAG","2019-09-09T07:27:46.000Z","","","OD-00000024","","Poco coerenti","4.0","0050Y000000NtQOQA0","2019-09-09T07:27:46.000Z","2.0","Poco"
"0050Y000000NtQOQA0","2019-07-19T15:06:12.000Z","","Per nulla","a4v0E000000DbQeQAK","a4m0E000000DaDJQA0","false","0050E000005VHptQAG","2019-09-09T07:27:46.000Z","","","OD-00000025","","Non coerenti","5.0","0050Y000000NtQOQA0","2019-09-09T07:27:46.000Z","1.0","Per nulla"
"0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","Non del tutto","a4v0E000000DeAuQAK","a4m0E000000DbSSQA0","false","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","","OD-00000083","","Non del tutto, possiamo migliorare","3.0","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","3.0","Non del tutto"
"0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","Sufficientemente","a4v0E000000DeAvQAK","a4m0E000000DbSSQA0","false","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","","OD-00000084","","Sufficientemente, su alcuni parametri c'è da lavorare","4.0","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","2.0","Sufficientemente"
"0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","Poco","a4v0E000000DeAwQAK","a4m0E000000DbSSQA0","false","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","","OD-00000085","","Poco, c'è molto da fare","5.0","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","1.0","Poco"
"0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","Molta","a4v0E000000DeAxQAK","a4m0E000000DbSTQA0","false","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","","OD-00000086","","Molta","1.0","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","5.0","Molta"
"0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","Abbastanza","a4v0E000000DeAyQAK","a4m0E000000DbSTQA0","false","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","","OD-00000087","","Abbastanza","2.0","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","4.0","Abbastanza"
"0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","Sufficiente","a4v0E000000DeAzQAK","a4m0E000000DbSTQA0","false","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","","OD-00000088","","Sufficiente","3.0","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","3.0","Sufficiente"
"0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","Poca","a4v0E000000DeB0QAK","a4m0E000000DbSTQA0","false","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","","OD-00000089","","Poca","4.0","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","2.0","Poca"
"0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","Per nulla","a4v0E000000DeB1QAK","a4m0E000000DbSTQA0","false","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","","OD-00000090","","Per nulla","5.0","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","1.0","Per nulla"
"0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","Ottimo","a4v0E000000DeB2QAK","a4m0E000000DbSUQA0","false","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","","OD-00000091","","Ottimo, siamo in sintonia","1.0","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","5.0","Ottimo"
"0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","Buono","a4v0E000000DeB3QAK","a4m0E000000DbSUQA0","false","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","","OD-00000092","","Buono, siamo allineati","2.0","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","4.0","Buono"
