"AREA_PERMESSI_VISUALIZZAZIONE__C","AREA__C","AZIENDA_PERMESSI_VISUALIZZAZIONE__C","CREATEDBYID","CREATEDDATE","ETICHETTA_EN__C","ETICHETTA_GENITORE__C","ETICHETTA_IT__C","ETICHETTA_RIDOTTA_EN__C","ETICHETTA_RIDOTTA_IT__C","GENITORE__C","GRUPPO__C","ID","ISDELETED","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTREFERENCEDDATE","LASTVIEWEDDATE","NAME","NO_TREND__C","ORDINE_RISULTATI_DEALER__C","ORDINE_RISULTATI_MANAGER__C","OWNERID","PESO_GENITORE__C","PRIORITA_VISUALIZZAZIONE__C","SYSTEMMODSTAMP","TIPOLOGIA_GRAFICO__C","TIPOLOGIA__C","VISUALIZZABILE_DA_DEALER_IN__C","VISUALIZZABILE_DA_MANAGER_IN__C"
"After Sales;Marketing;Sales;TIM;TFS","After Sales;Marketing;Sales;TIM;TFS","TMI","0050E000005VHptQAG","2019-09-09T09:19:09.000Z","Dealer Motivation","","Motivazione Dealer","Motivation","Motivazione","","a4o0E0000000iYmQAI","a4r0E000000DGmFQAW","false","0050E000000SMCWQA4","2019-12-16T09:32:42.000Z","","","R-0000001","","","","0050E000005VHptQAG","","1.0","2019-12-16T09:32:42.000Z","","Indice","Dealer Map","Dealer Map"
"After Sales;Marketing;Sales;TIM;TFS","After Sales;Marketing;Sales;TIM;TFS","TMI","0050E000005VHptQAG","2019-09-09T09:19:09.000Z","Business with TMI","","Business con TMI","Business","Business","","a4o0E0000000iYmQAI","a4r0E000000DGmGQAW","false","0050E000000SMCWQA4","2019-12-16T09:35:51.000Z","","","R-0000005","","","","0050E000005VHptQAG","","1.0","2019-12-16T09:35:51.000Z","","Indice","Dealer Map","Dealer Map"
"After Sales;Marketing;Sales;TIM;TFS","After Sales;Marketing;Sales;TIM;TFS","TMI","0050E000005VHptQAG","2019-09-09T09:19:09.000Z","Employees Alignment","Motivazione Dealer","Allineamento Team","","","a4r0E000000DGmFQAW","a4o0E0000000iYmQAI","a4r0E000000DGmHQAW","false","0050E000000SMCWQA4","2020-01-16T14:21:15.000Z","","","R-0000002","","1.0","1.0","0050E000005VHptQAG","10.0","1.0","2020-01-16T14:21:15.000Z","","Raggruppamento","Dealer Insight","Motivation Dashboard"
"After Sales;Marketing;Sales;TIM;TFS","After Sales;Marketing;Sales;TIM;TFS","TMI","0050E000005VHptQAG","2019-09-09T09:19:09.000Z","Entrepreneur Job Gratification","Motivazione Dealer","Gratificazione lavorativa","","","a4r0E000000DGmFQAW","a4o0E0000000iYmQAI","a4r0E000000DGmIQAW","false","0050E000000SMCWQA4","2020-01-16T14:21:15.000Z","","","R-0000003","","2.0","2.0","0050E000005VHptQAG","10.0","1.0","2020-01-16T14:21:15.000Z","","Raggruppamento","Dealer Insight","Motivation Dashboard"
"After Sales;Marketing;Sales;TIM;TFS","After Sales;Marketing;Sales;TIM;TFS","TMI","0050E000005VHptQAG","2019-09-09T09:19:09.000Z","Engagement vs TMI","Motivazione Dealer","Ingaggio vs TMI","","","a4r0E000000DGmFQAW","a4o0E0000000iYmQAI","a4r0E000000DGmJQAW","false","0050E000000SMCWQA4","2020-01-16T14:21:15.000Z","","","R-0000004","","3.0","3.0","0050E000005VHptQAG","10.0","1.0","2020-01-16T14:21:15.000Z","","Raggruppamento","Dealer Insight","Motivation Dashboard"
"After Sales;Marketing;Sales;TIM;TFS","After Sales;Marketing;Sales;TIM;TFS","TMI","0050E000005VHptQAG","2019-09-09T09:19:09.000Z","Relationship with TMI","Business con TMI","Relazione con TMI","","","a4r0E000000DGmGQAW","a4o0E0000000iYmQAI","a4r0E000000DGmKQAW","false","0050E000000SMCWQA4","2020-01-16T14:21:15.000Z","","","R-0000006","","4.0","4.0","0050E000005VHptQAG","10.0","1.0","2020-01-16T14:21:15.000Z","","Raggruppamento","","Business Dashboard"
"After Sales;Marketing;Sales;TIM;TFS","After Sales;Marketing;Sales;TIM;TFS","TMI","0050E000005VHptQAG","2019-09-09T09:19:09.000Z","Campaign Competitiveness","Business con TMI","Competitività campagne","","","a4r0E000000DGmGQAW","a4o0E0000000iYmQAI","a4r0E000000DGmLQAW","false","0050E000000SMCWQA4","2020-01-16T14:21:15.000Z","","","R-0000007","","5.0","5.0","0050E000005VHptQAG","10.0","1.0","2020-01-16T14:21:15.000Z","Distribuzione Frequenza","Raggruppamento","More Results","Business Dashboard"
"After Sales;Marketing;Sales;TIM;TFS","After Sales;Marketing;Sales;TIM;TFS","TMI","0050E000005VHptQAG","2019-09-09T09:19:09.000Z","Performance","Business con TMI","Risultati","","","a4r0E000000DGmGQAW","a4o0E0000000iYmQAI","a4r0E000000DGmMQAW","false","0050E000000SMCWQA4","2020-01-16T14:21:15.000Z","","","R-0000008","","6.0","6.0","0050E000005VHptQAG","10.0","1.0","2020-01-16T14:21:15.000Z","","Raggruppamento","","Business Dashboard"
"After Sales;Marketing;Sales;TIM;TFS","After Sales;Marketing;Sales;TIM;TFS","TMI","0050E000005VHptQAG","2019-09-09T09:19:09.000Z","Aim at innovation","","Apertura all'innovazione","","","","a4o0E0000000iYmQAI","a4r0E000000DGmNQAW","false","0050E000000SMCWQA4","2019-12-16T09:35:51.000Z","","","R-0000009","","7.0","7.0","0050E000005VHptQAG","","2.0","2019-12-16T09:35:51.000Z","","Raggruppamento","",""
"After Sales;Marketing;Sales;TIM;TFS","After Sales;Marketing;Sales;TIM;TFS","TMI","0050E000005VHptQAG","2019-09-09T09:19:09.000Z","Dealer Organization","","Organizzazione Dealer","","","","a4o0E0000000iYmQAI","a4r0E000000DGmOQAW","false","0050E000000SMCWQA4","2020-01-16T13:40:05.000Z","","","R-0000010","","8.0","8.0","0050E000005VHptQAG","","2.0","2020-01-16T13:40:05.000Z","","Raggruppamento","Dealer Insight","Motivation Insight"
"After Sales;Marketing;Sales;TIM;TFS","After Sales;Marketing;Sales;TIM;TFS","TMI","0050E000005VHptQAG","2019-09-09T09:19:09.000Z","Company Health","","Stato dell'azienda","","","","a4o0E0000000iYmQAI","a4r0E000000DGmPQAW","false","0050E000000SMCWQA4","2019-12-16T09:35:51.000Z","","","R-0000011","","9.0","9.0","0050E000005VHptQAG","","2.0","2019-12-16T09:35:51.000Z","","Raggruppamento","",""
"After Sales;Marketing;Sales;TIM;TFS","After Sales;Marketing;Sales;TIM;TFS","TMI","0050E000005VHptQAG","2019-09-09T09:19:09.000Z","Strategic Alignment vs TMI","","Allineamento strategico vs TMI","","","","a4o0E0000000iYmQAI","a4r0E000000DGmQQAW","false","0050E000000SMCWQA4","2020-01-16T13:40:05.000Z","","","R-0000012","","10.0","10.0","0050E000005VHptQAG","","2.0","2020-01-16T13:40:05.000Z","","Raggruppamento","Dealer Insight","Motivation Insight"
"After Sales;Marketing;Sales;TIM;TFS","After Sales;Marketing;Sales;TIM;TFS","TMI","0050E000005VHptQAG","2019-09-09T09:19:09.000Z","Trust in TMI Management","","Fiducia nel Management TMI","","","","a4o0E0000000iYmQAI","a4r0E000000DGmRQAW","false","0050E000000SMCWQA4","2020-01-16T13:40:05.000Z","","","R-0000013","","11.0","11.0","0050E000005VHptQAG","","2.0","2020-01-16T13:40:05.000Z","","Raggruppamento","Dealer Insight","Motivation Insight"
"After Sales;Marketing;Sales;TIM;TFS","Sales","TMI","0050E000005VHptQAG","2019-09-09T09:19:09.000Z","Sales Target","","Obiettivi di vendita","","","","a4o0E0000000iYmQAI","a4r0E000000DGmSQAW","false","0050E000000SMCWQA4","2019-12-16T09:35:51.000Z","","","R-0000014","","12.0","12.0","0050E000005VHptQAG","","2.0","2019-12-16T09:35:51.000Z","","Raggruppamento","","Business Insight"
"After Sales;Marketing;Sales;TIM;TFS","After Sales","TMI","0050E000005VHptQAG","2019-09-09T09:19:09.000Z","A/S Target","","Obiettivi post-vendita","","","","a4o0E0000000iYmQAI","a4r0E000000DGmTQAW","false","0050E000000SMCWQA4","2019-12-16T09:35:51.000Z","","","R-0000015","","13.0","13.0","0050E000005VHptQAG","","2.0","2019-12-16T09:35:51.000Z","","Raggruppamento","","Business Insight"
"After Sales;Marketing;Sales;TIM;TFS","Marketing","TMI","0050E000005VHptQAG","2019-09-09T09:19:09.000Z","Sales Communication","","Comunicazione vendita","","","","a4o0E0000000iYmQAI","a4r0E000000DGmUQAW","false","0050E000000SMCWQA4","2019-12-16T09:35:51.000Z","","","R-0000016","","14.0","14.0","0050E000005VHptQAG","","2.0","2019-12-16T09:35:51.000Z","","Raggruppamento","","Business Insight"
"After Sales;Marketing;Sales;TIM;TFS","After Sales","TMI","0050E000005VHptQAG","2019-09-09T09:19:09.000Z","A/S Marketing","","Campagne Marketing Post-Vendita","","","","a4o0E0000000iYmQAI","a4r0E000000DGmVQAW","false","0050E000000SMCWQA4","2019-12-16T09:35:51.000Z","","","R-0000017","","15.0","15.0","0050E000005VHptQAG","","2.0","2019-12-16T09:35:51.000Z","","Raggruppamento","","Business Insight"
"After Sales;Marketing;Sales;TIM;TFS","TFS","TFS","0050E000005VHptQAG","2019-09-09T09:19:09.000Z","TFS Campaigns","","Campagne TFS","","","","a4o0E0000000iYmQAI","a4r0E000000DGmWQAW","false","0050E000000SMCWQA4","2019-12-16T10:44:40.000Z","","","R-0000018","","16.0","16.0","0050E000005VHptQAG","","2.0","2019-12-16T10:44:40.000Z","","Raggruppamento","","Business Insight"
"After Sales;Marketing;Sales;TIM;TFS","TIM","TIM","0050E000005VHptQAG","2019-09-09T09:19:09.000Z","TIM Campaigns","","Campagne TIM","","","","a4o0E0000000iYmQAI","a4r0E000000DGmXQAW","false","0050E000000SMCWQA4","2019-12-16T09:42:21.000Z","","","R-0000019","","17.0","17.0","0050E000005VHptQAG","","2.0","2019-12-16T09:42:21.000Z","","Raggruppamento","","Business Insight"
"After Sales;Marketing;Sales;TIM;TFS","Sales","TMI","0050E000005VHptQAG","2019-09-09T09:19:09.000Z","ZM Sales","","ZM Vendite","","","","a4o0E0000000iYmQAI","a4r0E000000DGmYQAW","false","0050E000000SMCWQA4","2019-12-16T09:35:51.000Z","","","R-0000020","","18.0","18.0","0050E000005VHptQAG","","2.0","2019-12-16T09:35:51.000Z","","Raggruppamento","Dealer Insight","Business Insight"
"After Sales;Marketing;Sales;TIM;TFS","After Sales","TMI","0050E000005VHptQAG","2019-09-09T09:19:09.000Z","ZM A/S","","ZM Post-Vendita","","","","a4o0E0000000iYmQAI","a4r0E000000DGmZQAW","false","0050E000000SMCWQA4","2019-12-16T09:35:51.000Z","","","R-0000021","","19.0","19.0","0050E000005VHptQAG","","2.0","2019-12-16T09:35:51.000Z","","Raggruppamento","Dealer Insight","Business Insight"
"After Sales;Marketing;Sales;TIM;TFS","After Sales","TMI","0050E000005VHptQAG","2019-09-09T09:19:09.000Z","Parts","","Ricambi","","","","a4o0E0000000iYmQAI","a4r0E000000DGmaQAG","false","0050E000000SMCWQA4","2019-12-16T09:35:51.000Z","","","R-0000022","","20.0","20.0","0050E000005VHptQAG","","2.0","2019-12-16T09:35:51.000Z","","Raggruppamento","",""
"After Sales;Marketing;Sales;TIM;TFS","After Sales;Marketing;Sales;TIM;TFS","TMI","0050E000005VHptQAG","2019-09-09T09:19:09.000Z","Training","","Formazione","","","","a4o0E0000000iYmQAI","a4r0E000000DGmbQAG","false","0050E000000SMCWQA4","2019-12-16T09:35:51.000Z","","","R-0000023","","21.0","21.0","0050E000005VHptQAG","","2.0","2019-12-16T09:35:51.000Z","","Raggruppamento","Dealer Insight","Business Insight"
"After Sales;Marketing;Sales;TIM;TFS","After Sales;Marketing;Sales;TIM;TFS","TMI","0050E000005VHptQAG","2019-09-09T09:19:09.000Z","System & Tools","","Sistemi e strumenti","","","","a4o0E0000000iYmQAI","a4r0E000000DGmcQAG","false","0050E000000SMCWQA4","2019-12-16T09:35:51.000Z","","","R-0000024","","22.0","22.0","0050E000005VHptQAG","","2.0","2019-12-16T09:35:51.000Z","","Raggruppamento","","Business Insight"
"After Sales;Marketing;Sales;TIM;TFS","After Sales;Marketing;Sales;TIM;TFS","TMI","0050E000005VHptQAG","2019-09-09T09:19:09.000Z","Lead Management","","Gestione Lead","","","","a4o0E0000000iYmQAI","a4r0E000000DGmdQAG","false","0050E000000SMCWQA4","2019-12-16T09:35:51.000Z","","","R-0000025","","23.0","23.0","0050E000005VHptQAG","","3.0","2019-12-16T09:35:51.000Z","Distribuzione Frequenza","Raggruppamento","More Results","More Results"
"After Sales;Marketing;Sales;TIM;TFS","After Sales;Marketing;Sales;TIM;TFS","TMI","0050E000005VHptQAG","2019-09-09T09:19:09.000Z","Dealer Motivation","","Motivazione Dealer","Motivation","Motivazione","","a4o0E0000000iYzQAI","a4r0E000000DGmeQAG","false","0050E000000SMCWQA4","2019-12-16T09:35:51.000Z","","","R-0000026","","","","0050E000005VHptQAG","","1.0","2019-12-16T09:35:51.000Z","","Indice","Dealer Map","Dealer Map"
"After Sales;Marketing;Sales;TIM;TFS","After Sales;Marketing;Sales;TIM;TFS","TMI","0050E000005VHptQAG","2019-09-09T09:19:09.000Z","Business with TMI","","Business con TMI","Business","Business","","a4o0E0000000iYzQAI","a4r0E000000DGmfQAG","false","0050E000000SMCWQA4","2019-12-16T09:35:51.000Z","","","R-0000027","","","","0050E000005VHptQAG","","1.0","2019-12-16T09:35:51.000Z","","Indice","Dealer Map","Dealer Map"
"After Sales;Marketing;Sales;TIM;TFS","After Sales;Marketing;Sales;TIM;TFS","TMI","0050E000005VHptQAG","2019-09-09T09:19:09.000Z","Employees Alignment","Motivazione Dealer","Allineamento Team","","","a4r0E000000DGmFQAW","a4o0E0000000iYmQAI","a4r0E000000DGmgQAG","false","0050E000000SMCWQA4","2020-01-16T14:21:15.000Z","","","R-0000028","","1.0","1.0","0050E000005VHptQAG","10.0","1.0","2020-01-16T14:21:15.000Z","","Raggruppamento","Dealer Insight","Motivation Dashboard"
"After Sales;Marketing;Sales;TIM;TFS","After Sales;Marketing;Sales;TIM;TFS","TMI","0050E000005VHptQAG","2019-09-09T09:19:09.000Z","Entrepreneur Job Gratification","Motivazione Dealer","Gratificazione lavorativa","","","a4r0E000000DGmFQAW","a4o0E0000000iYzQAI","a4r0E000000DGmhQAG","false","0050E000000SMCWQA4","2020-01-16T14:21:15.000Z","","","R-0000029","","2.0","2.0","0050E000005VHptQAG","10.0","1.0","2020-01-16T14:21:15.000Z","","Raggruppamento","Dealer Insight","Motivation Dashboard"
"After Sales;Marketing;Sales;TIM;TFS","After Sales;Marketing;Sales;TIM;TFS","TMI","0050E000005VHptQAG","2019-09-09T09:19:09.000Z","Engagement Vs TMI","Motivazione Dealer","Ingaggio vs TMI","","","a4r0E000000DGmFQAW","a4o0E0000000iYzQAI","a4r0E000000DGmiQAG","false","0050E000000SMCWQA4","2020-01-16T14:21:15.000Z","","","R-0000030","","3.0","3.0","0050E000005VHptQAG","10.0","1.0","2020-01-16T14:21:15.000Z","","Raggruppamento","Dealer Insight","Motivation Dashboard"
"After Sales;Marketing;Sales;TIM;TFS","After Sales;Marketing;Sales;TIM;TFS","TMI","0050E000005VHptQAG","2019-09-09T09:19:09.000Z","Relationship with TMI","Business con TMI","Relazione con TMI","","","a4r0E000000DGmGQAW","a4o0E0000000iYzQAI","a4r0E000000DGmjQAG","false","0050E000000SMCWQA4","2020-01-16T14:21:15.000Z","","","R-0000031","","4.0","4.0","0050E000005VHptQAG","10.0","1.0","2020-01-16T14:21:15.000Z","","Raggruppamento","","Business Dashboard"
"After Sales;Marketing;Sales;TIM;TFS","After Sales;Marketing;Sales;TIM;TFS","TMI","0050E000005VHptQAG","2019-09-09T09:19:09.000Z","Campaign Competitiveness","Business con TMI","Competitività campagne","","","a4r0E000000DGmGQAW","a4o0E0000000iYzQAI","a4r0E000000DGmkQAG","false","0050E000000SMCWQA4","2020-01-16T14:21:15.000Z","","","R-0000032","","5.0","5.0","0050E000005VHptQAG","10.0","1.0","2020-01-16T14:21:15.000Z","Distribuzione Frequenza","Raggruppamento","More Results","Business Dashboard"
"After Sales;Marketing;Sales;TIM;TFS","After Sales;Marketing;Sales;TIM;TFS","TMI","0050E000005VHptQAG","2019-09-09T09:19:09.000Z","Performance","Business con TMI","Risultati","","","a4r0E000000DGmGQAW","a4o0E0000000iYzQAI","a4r0E000000DGmlQAG","false","0050E000000SMCWQA4","2020-01-16T14:21:15.000Z","","","R-0000033","","6.0","6.0","0050E000005VHptQAG","10.0","1.0","2020-01-16T14:21:15.000Z","","Raggruppamento","","Business Dashboard"
"After Sales;Marketing;Sales;TIM;TFS","After Sales;Marketing;Sales;TIM;TFS","TMI","0050E000005VHptQAG","2019-09-09T09:19:09.000Z","Aim at innovation","","Apertura all'innovazione","","","","a4o0E0000000iYzQAI","a4r0E000000DGmmQAG","false","0050E000000SMCWQA4","2019-12-16T09:35:51.000Z","","","R-0000034","","7.0","7.0","0050E000005VHptQAG","","2.0","2019-12-16T09:35:51.000Z","","Raggruppamento","",""
"After Sales;Marketing;Sales;TIM;TFS","After Sales;Marketing;Sales;TIM;TFS","TMI","0050E000005VHptQAG","2019-09-09T09:19:09.000Z","Dealer Organization","","Organizzazione Dealer","","","","a4o0E0000000iYzQAI","a4r0E000000DGmnQAG","false","0050E000000SMCWQA4","2020-01-16T13:40:05.000Z","","","R-0000035","","8.0","8.0","0050E000005VHptQAG","","2.0","2020-01-16T13:40:05.000Z","","Raggruppamento","Dealer Insight","Motivation Insight"
