"ARTICOLO__C","CREATEDBYID","CREATEDDATE","GENITORE__C","ID","ISDELETED","LASTACTIVITYDATE","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTREFERENCEDDATE","LASTVIEWEDDATE","NAME","OWNERID","PUBBLICO__C","SYSTEMMODSTAMP","TESTO__C","TIPOLOGIA__C","UTENTE__C"
"a4z0E000000EyFvQAK","0050E00000527RMQAY","2019-12-12T15:41:12.000Z","","a500E0000004YxyQAE","false","","0050E00000527RMQAY","2019-12-12T15:41:12.000Z","","","UA-00000130","0050E00000527RMQAY","true","2019-12-12T15:41:12.000Z","","Visualizzazione","a4n0E000000Q8BuQAK"
"a4z0E000000EyExQAK","0050E00000527RMQAY","2021-02-01T09:14:13.000Z","","a500E0000004jrsQAA","false","","0050E00000527RMQAY","2021-02-01T09:14:13.000Z","","","UA-00000207","0050E000000SMCWQA4","true","2021-02-01T09:14:13.000Z","","Visualizzazione","a4n0E000000n0wsQAA"
"a4z0E000000EyF7QAK","0050E00000527RMQAY","2021-02-01T09:48:00.000Z","","a500E0000004js2QAA","false","","0050E00000527RMQAY","2021-02-01T09:48:00.000Z","","","UA-00000209","0050E000000SMCWQA4","true","2021-02-01T09:48:00.000Z","","Visualizzazione","a4n0E000000n0wsQAA"
"a4z0E000000EyF2QAK","0050E00000527RMQAY","2020-03-26T09:31:33.000Z","","a500E0000004asMQAQ","false","","0050E00000527RMQAY","2020-03-26T09:31:33.000Z","","","UA-00000168","0050E00000527RMQAY","true","2020-03-26T09:31:33.000Z","","Visualizzazione","a4n0E000000n1bHQAQ"
"a4z0E000000EyqhQAC","0050E00000527RMQAY","2019-11-21T16:31:33.000Z","","a500E0000004YoXQAU","false","","0050E00000527RMQAY","2019-11-21T16:31:33.000Z","","","UA-00000120","0050E00000527RMQAY","true","2019-11-21T16:31:33.000Z","","Visualizzazione","a4n0E000000Q8BuQAK"
"a4z0E0000006kffQAA","0050E00000527RMQAY","2019-12-17T09:52:05.000Z","","a500E0000004YzzQAE","false","","0050E000000SMCWQA4","2020-03-26T10:56:39.000Z","","","UA-00000154","0050E00000527RMQAY","true","2020-03-26T10:56:39.000Z","","Visualizzazione",""
"a4z0E000000EyExQAK","0050E00000527RMQAY","2019-12-16T11:26:18.000Z","","a500E0000004YzfQAE","false","","0050E000000SMCWQA4","2020-03-26T10:56:39.000Z","","","UA-00000151","0050E00000527RMQAY","true","2020-03-26T10:56:39.000Z","","Visualizzazione",""
"a4z0E000000EyFqQAK","0050E00000527RMQAY","2019-11-25T10:53:55.000Z","","a500E0000004YpBQAU","false","","0050E00000527RMQAY","2019-11-25T10:53:55.000Z","","","UA-00000124","0050E00000527RMQAY","true","2019-11-25T10:53:55.000Z","","Like","a4n0E000000Q8BuQAK"
"a4z0E0000006kffQAA","0050E00000527RMQAY","2019-12-04T14:44:32.000Z","","a500E0000004YvxQAE","false","","0050E00000527RMQAY","2019-12-04T14:44:32.000Z","","","UA-00000127","0050E00000527RMQAY","true","2019-12-04T14:44:32.000Z","","Visualizzazione","a4n0E000000Q8BuQAK"
"a4z0E0000006kffQAA","0050E00000527RMQAY","2020-04-17T12:34:19.000Z","","a500E000000D9c6QAC","false","","0050E00000527RMQAY","2020-04-17T12:34:19.000Z","","","UA-00000200","0050E00000527RMQAY","true","2020-04-17T12:34:19.000Z","","Visualizzazione","a4n0E000000n0wsQAA"
"","0050E00000527RMQAY","2019-08-29T08:46:54.000Z","","a500E0000000VsFQAU","false","","0050E000005VHptQAG","2019-09-10T08:01:59.000Z","","","UA-00000051","0050E00000527RMQAY","true","2019-09-10T08:01:59.000Z","","Like","a4n0E000000n1bIQAQ"
"a4z0E0000006kffQAA","0050E00000527RMQAY","2021-01-29T16:11:22.000Z","","a500E0000004jpbQAA","false","","0050E00000527RMQAY","2021-01-29T16:11:22.000Z","","","UA-00000206","0050E000000SMCWQA4","true","2021-01-29T16:11:22.000Z","","Like","a4n0E000000n0wsQAA"
"a4z0E000000EyF2QAK","0050E00000527RMQAY","2019-11-25T10:53:57.000Z","","a500E0000004YpGQAU","false","","0050E00000527RMQAY","2019-11-25T10:53:57.000Z","","","UA-00000125","0050E00000527RMQAY","true","2019-11-25T10:53:57.000Z","","Visualizzazione","a4n0E000000Q8BuQAK"
"","0050E00000527RMQAY","2019-07-22T13:50:41.000Z","","a500E0000000Uc8QAE","false","","0050E000005VHptQAG","2019-09-10T08:01:59.000Z","","","UA-00000008","0050E00000527RMQAY","true","2019-09-10T08:01:59.000Z","","Visualizzazione","a4n0E000000n1bHQAQ"
