"ABILITA_NOTIFICHE__C","ABILITA_STORICO__C","AGGIUNTO_DA_UTENTE__C","CHAT__C","CREATEDBYID","CREATEDDATE","DATA_ORA_AGGIUNTA__C","DATA_ORA_RIMOZIONE__C","DATA_ORA_ULTIMO_ACCESSO__C","ID","ISDELETED","LASTACTIVITYDATE","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTREFERENCEDDATE","LASTVIEWEDDATE","NAME","OWNERID","RIMOSSO_DA_UTENTE__C","RUOLO_CHAT__C","SYSTEMMODSTAMP","UTENTE__C"
"true","true","a4n0E000000Q8BuQAK","a5g0E000000NMxYQAW","0050E00000527RMQAY","2020-05-27T15:48:16.000Z","2020-05-27T15:48:16.000Z","","","a5h0E000000KZFWQA4","false","","0050E00000527RMQAY","2020-05-27T15:48:16.000Z","","","UC-000263","0050E00000527RMQAY","","admin","2020-05-27T15:48:16.000Z","a4n0E000000Q8BuQAK"
"true","false","a4n0E000000Q8BuQAK","a5g0E000000NMxYQAW","0050E00000527RMQAY","2020-05-27T15:48:16.000Z","2020-05-27T15:48:16.000Z","","","a5h0E000000KZFXQA4","false","","0050E00000527RMQAY","2020-05-27T15:48:16.000Z","","","UC-000264","0050E00000527RMQAY","","guest","2020-05-27T15:48:16.000Z","a4n0E000000n0wsQAA"
"true","true","a4n0E000000Q8BuQAK","a5g0E000000NMxdQAG","0050E00000527RMQAY","2020-05-27T15:55:06.000Z","2020-05-27T15:55:06.000Z","","","a5h0E000000KZFlQAO","false","","0050E00000527RMQAY","2020-05-27T15:55:06.000Z","","","UC-000269","0050E00000527RMQAY","","guest","2020-05-27T15:55:06.000Z","a4n0E000000n1bHQAQ"
"true","true","a4n0E000000Q8BuQAK","a5g0E000000NMxdQAG","0050E00000527RMQAY","2020-05-27T15:49:22.000Z","2020-05-27T15:49:22.000Z","","","a5h0E000000KZFbQAO","false","","0050E00000527RMQAY","2020-05-27T15:49:22.000Z","","","UC-000265","0050E00000527RMQAY","","admin","2020-05-27T15:49:22.000Z","a4n0E000000Q8BuQAK"
"true","false","a4n0E000000Q8BuQAK","a5g0E000000NMxdQAG","0050E00000527RMQAY","2020-05-27T15:49:22.000Z","2020-05-27T15:49:22.000Z","","","a5h0E000000KZFcQAO","false","","0050E00000527RMQAY","2020-05-27T15:49:22.000Z","","","UC-000266","0050E00000527RMQAY","","guest","2020-05-27T15:49:22.000Z","a4n0E000000n0wsQAA"
"true","true","a4n0E000000Q8BuQAK","a5g0E000000NMyWQAW","0050E00000527RMQAY","2020-05-28T13:42:42.000Z","2020-05-28T13:42:42.000Z","","","a5h0E000000KZFvQAO","false","","0050E00000527RMQAY","2020-05-28T13:42:42.000Z","","","UC-000271","0050E00000527RMQAY","","admin","2020-05-28T13:42:42.000Z","a4n0E000000Q8BuQAK"
"true","false","a4n0E000000Q8BuQAK","a5g0E000000NMyWQAW","0050E00000527RMQAY","2020-05-28T13:42:42.000Z","2020-05-28T13:42:42.000Z","","","a5h0E000000KZFwQAO","false","","0050E00000527RMQAY","2020-05-28T13:42:42.000Z","","","UC-000272","0050E00000527RMQAY","","guest","2020-05-28T13:42:42.000Z","a4n0E000000n1bHQAQ"
"true","true","a4n0E000000Q8BuQAK","a5g0E000000NMxYQAW","0050E00000527RMQAY","2020-05-28T13:40:18.000Z","2020-05-28T13:40:18.000Z","","","a5h0E000000KZFqQAO","false","","0050E00000527RMQAY","2020-05-28T13:47:49.000Z","","","UC-000270","0050E00000527RMQAY","","admin","2020-05-28T13:47:49.000Z","a4n0E000000n1bHQAQ"
"true","true","a4n0E000000Q8BuQAK","a5g0E000000NMxiQAG","0050E00000527RMQAY","2020-05-27T15:50:11.000Z","2020-05-27T15:50:11.000Z","","","a5h0E000000KZFgQAO","false","","0050E00000527RMQAY","2020-05-27T15:50:11.000Z","","","UC-000267","0050E00000527RMQAY","","admin","2020-05-27T15:50:11.000Z","a4n0E000000Q8BuQAK"
"true","false","a4n0E000000Q8BuQAK","a5g0E000000NMxiQAG","0050E00000527RMQAY","2020-05-27T15:50:11.000Z","2020-05-27T15:50:11.000Z","","","a5h0E000000KZFhQAO","false","","0050E00000527RMQAY","2020-05-27T15:50:11.000Z","","","UC-000268","0050E00000527RMQAY","","guest","2020-05-27T15:50:11.000Z","a4n0E000000n0wsQAA"
