"AREA_PERMESSI_VISUALIZZAZIONE__C","AREA_RUOLO__C","CREATEDBYID","CREATEDDATE","GRUPPO__C","ID","ISDELETED","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTREFERENCEDDATE","LASTVIEWEDDATE","NAME","NOME_GRUPPO__C","OWNERID","PRIVILEGI__C","SIGLA_GRUPPO__C","SYSTEMMODSTAMP","TIPOLOGIA_GRUPPO__C","UTENTE__C"
"After Sales;Marketing;Sales;TIM;TFS;TFM","After Sales;Marketing;Sales;TIM;TFS;TFM","0050Y000000NtQOQA0","2019-07-19T12:25:56.000Z","a4o0E0000000iYwQAI","a4q0E000000E78CQAS","false","0050E000005VHptQAG","2019-09-18T15:42:06.000Z","","","UG-0000046","Zona G","0050Y000000NtQOQA0","RispPoll;VisRis","G","2019-09-18T15:42:07.000Z","Zona","a4n0E000000n1c4QAA"
"After Sales;Marketing;Sales;TIM;TFS;TFM","After Sales;Marketing;Sales;TIM;TFS;TFM","0050Y000000NtQOQA0","2019-07-19T12:25:56.000Z","a4o0E0000000iYwQAI","a4q0E000000E78DQAS","false","0050E000005VHptQAG","2019-09-18T15:42:06.000Z","","","UG-0000047","Zona G","0050Y000000NtQOQA0","RispPoll;VisRis","G","2019-09-18T15:42:07.000Z","Zona","a4n0E000000n1c5QAA"
"After Sales;Marketing;Sales;TIM;TFS;TFM","After Sales;Marketing;Sales;TIM;TFS;TFM","0050Y000000NtQOQA0","2019-07-19T12:25:56.000Z","a4o0E0000000iYwQAI","a4q0E000000E78EQAS","false","0050E000005VHptQAG","2019-09-18T15:42:06.000Z","","","UG-0000048","Zona G","0050Y000000NtQOQA0","RispPoll;VisRis","G","2019-09-18T15:42:07.000Z","Zona","a4n0E000000n1c6QAA"
"After Sales;Marketing;Sales;TIM;TFS;TFM","After Sales;Marketing;Sales;TIM;TFS;TFM","0050Y000000NtQOQA0","2019-07-19T12:25:56.000Z","a4o0E0000000iYwQAI","a4q0E000000E78FQAS","false","0050E000005VHptQAG","2019-09-18T15:42:06.000Z","","","UG-0000049","Zona G","0050Y000000NtQOQA0","RispPoll;VisRis","G","2019-09-18T15:42:07.000Z","Zona","a4n0E000000n1c7QAA"
"After Sales;Marketing;Sales;TIM;TFS;TFM","After Sales;Marketing;Sales;TIM;TFS;TFM","0050Y000000NtQOQA0","2019-07-19T12:25:56.000Z","a4o0E0000000iYwQAI","a4q0E000000E78GQAS","false","0050E000005VHptQAG","2019-09-18T15:42:06.000Z","","","UG-0000050","Zona G","0050Y000000NtQOQA0","RispPoll;VisRis","G","2019-09-18T15:42:07.000Z","Zona","a4n0E000000n1c8QAA"
"After Sales;Marketing;Sales;TIM;TFS;TFM","After Sales;Marketing;Sales;TIM;TFS;TFM","0050Y000000NtQOQA0","2019-07-19T12:25:58.000Z","a4o0E0000000iZ3QAI","a4q0E000000E78qQAC","false","0050E000005VHptQAG","2019-09-18T15:42:06.000Z","","","UG-0000086","Zona 3","0050Y000000NtQOQA0","RispPoll;VisRis","3","2019-09-18T15:42:07.000Z","Zona","a4n0E000000n1bUQAQ"
"After Sales;Marketing;Sales;TIM;TFS;TFM","After Sales;Marketing;Sales;TIM;TFS;TFM","0050Y000000NtQOQA0","2019-07-19T12:25:58.000Z","a4o0E0000000iZ3QAI","a4q0E000000E78rQAC","false","0050E000005VHptQAG","2019-09-18T15:42:06.000Z","","","UG-0000087","Zona 3","0050Y000000NtQOQA0","RispPoll;VisRis","3","2019-09-18T15:42:07.000Z","Zona","a4n0E000000n1bgQAA"
"After Sales;Marketing;Sales;TIM;TFS;TFM","After Sales;Marketing;Sales;TIM;TFS;TFM","0050Y000000NtQOQA0","2019-07-19T12:25:58.000Z","a4o0E0000000iZ3QAI","a4q0E000000E78sQAC","false","0050E000005VHptQAG","2019-09-18T15:42:06.000Z","","","UG-0000088","Zona 3","0050Y000000NtQOQA0","RispPoll;VisRis","3","2019-09-18T15:42:07.000Z","Zona","a4n0E000000n1bWQAQ"
"After Sales;Marketing;Sales;TIM;TFS;TFM","After Sales;Marketing;Sales;TIM;TFS;TFM","0050Y000000NtQOQA0","2019-07-19T12:25:58.000Z","a4o0E0000000iZ4QAI","a4q0E000000E78tQAC","false","0050E000005VHptQAG","2019-09-18T15:42:06.000Z","","","UG-0000089","Zona 4","0050Y000000NtQOQA0","RispPoll;VisRis","4","2019-09-18T15:42:07.000Z","Zona","a4n0E000000n1cSQAQ"
"After Sales;Marketing;Sales;TIM;TFS;TFM","After Sales;Marketing;Sales;TIM;TFS;TFM","0050Y000000NtQOQA0","2019-07-19T12:25:58.000Z","a4o0E0000000iZ4QAI","a4q0E000000E78uQAC","false","0050E000005VHptQAG","2019-09-18T15:42:06.000Z","","","UG-0000090","Zona 4","0050Y000000NtQOQA0","RispPoll;VisRis","4","2019-09-18T15:42:07.000Z","Zona","a4n0E000000n1c4QAA"
